signal_id,timestamp,domain,zone,rr_type,algorithm,digest_type,key_tag,flags,source,measurement_id,row_index,origin_file
sig_0001,2010-06-15T00:00:25,hashed-denial.nu,nu,NSEC3,1,,,,zonefile-nu,oi-2010-06-15-0018,0,sample_openintel.parquet
sig_0002,2011-02-15T03:43:30,legacy-sha1.com,com,DS,8,1,,,zonefile-com,oi-2011-02-15-0038,1,sample_openintel.parquet
sig_0003,2011-03-09T01:42:10,example.com,com,NSEC3PARAM,1,,,,zonefile-com,oi-2011-03-09-0019,2,sample_openintel.parquet
sig_0004,2011-05-24T01:47:52,example.com,com,DNSKEY,8,,,,zonefile-com,oi-2011-05-24-0060,3,sample_openintel.parquet
sig_0005,2012-02-07T03:31:12,example.com,com,RRSIG,8,,,,zonefile-com,oi-2012-02-07-0061,4,sample_openintel.parquet
sig_0006,2012-03-14T02:49:20,example.com,com,DS,8,2,,,zonefile-com,oi-2012-03-14-0028,5,sample_openintel.parquet
sig_0007,2012-07-24T03:47:57,example.nl,nl,NSEC3,1,,,,zonefile-nl,oi-2012-07-24-0020,6,sample_openintel.parquet
sig_0008,2012-08-21T05:07:43,legacy-sha1.com,com,DS,8,1,,,zonefile-com,oi-2012-08-21-0039,7,sample_openintel.parquet
sig_0009,2012-12-11T01:11:09,example.org,org,NSEC,8,,,,zonefile-org,oi-2012-12-11-0062,8,sample_openintel.parquet
sig_0010,2013-02-18T03:21:18,dnssec-demo.org,org,NSEC3PARAM,1,,,,zonefile-org,oi-2013-02-18-0021,9,sample_openintel.parquet
sig_0011,2013-06-27T05:25:22,example.net,net,DS,8,2,,,zonefile-net,oi-2013-06-27-0029,10,sample_openintel.parquet
sig_0012,2013-07-02T04:40:21,ecdsa-demo.com,com,DNSKEY,13,,,,zonefile-com,oi-2013-07-02-0042,11,sample_openintel.parquet
sig_0013,2013-09-03T02:47:48,example.nl,nl,DNSKEY,8,,,,zonefile-nl,oi-2013-09-03-0063,12,sample_openintel.parquet
sig_0014,2013-11-05T02:08:51,example.net,net,DS,8,1,,,zonefile-net,oi-2013-11-05-0040,13,sample_openintel.parquet
sig_0015,2014-01-09T05:43:02,dnssec-demo.nl,nl,DS,8,2,,,zonefile-nl,oi-2014-01-09-0030,14,sample_openintel.parquet
sig_0016,2014-04-17T05:34:29,example.org,org,DS,8,1,,,zonefile-org,oi-2014-04-17-0041,15,sample_openintel.parquet
sig_0017,2014-05-19T01:01:22,ecdsa-demo.com,com,RRSIG,13,,,,zonefile-com,oi-2014-05-19-0043,16,sample_openintel.parquet
sig_0018,2014-06-16T01:47:01,signed-example.se,se,RRSIG,8,,,,zonefile-se,oi-2014-06-16-0064,17,sample_openintel.parquet
sig_0019,2014-09-30T01:20:44,signed-example.se,se,NSEC3,1,,,,zonefile-se,oi-2014-09-30-0022,18,sample_openintel.parquet
sig_0020,2015-04-08T00:49:32,example.com,com,CDS,0,0,,,zonefile-com,oi-2015-04-08-0013,19,sample_openintel.parquet
sig_0021,2015-04-22T04:34:59,signed-example.se,se,DS,8,2,,,zonefile-se,oi-2015-04-22-0031,20,sample_openintel.parquet
sig_0022,2015-05-12T00:11:48,hashed-denial.nu,nu,NSEC3PARAM,1,,,,zonefile-nu,oi-2015-05-12-0023,21,sample_openintel.parquet
sig_0023,2015-08-27T05:52:06,example.nl,nl,DNSKEY,13,,,,zonefile-nl,oi-2015-08-27-0044,22,sample_openintel.parquet
sig_0024,2015-09-22T05:06:26,delete-signal.nl,nl,CDS,0,0,,,zonefile-nl,oi-2015-09-22-0014,23,sample_openintel.parquet
sig_0025,2015-11-24T01:12:20,example.net,net,NSEC,8,,,,zonefile-net,oi-2015-11-24-0065,24,sample_openintel.parquet
sig_0026,2016-01-15T04:12:13,dnssec-demo.org,org,CDS,0,0,,,zonefile-org,oi-2016-01-15-0015,25,sample_openintel.parquet
