cve,published,scope,mechanism,rfc,project,role,fix_version,fix_release_date,commit_date,days_from_publication_to_release,released_before_publication,commit_subject
CVE-2006-5989,,dependency,,,BIND 9,both,9.11.29,2021-03-09,2021-01-07,,,Fix off-by-one bug in ISC SPNEGO implementation
CVE-2008-0122,2008-01-16,dns,,,BIND 9,both,9.4.3,2008-11-12,2008-01-15,301,False,2305.   [security]      inet_network() buffer overflow. CVE-2008-0122.
CVE-2009-4492,,dependency,,,PowerDNS Authoritative,authoritative,4.2.0,2019-08-27,2018-01-09,,,upgrade to webrick 1.4.2 (CVE-2009-4492)
CVE-2009-4492,,dependency,,,PowerDNS Recursor,resolver,4.2.0,2019-07-12,2018-01-09,,,upgrade to webrick 1.4.2 (CVE-2009-4492)
CVE-2010-3613,2010-12-06,dnssec,rrsig,RFC 4035,BIND 9,both,,,2010-11-25,,,CVE-2010-3613 Reduce complexity from M to L raising score from 7.1 to 7.8. Just have the base CVSS vectors.
CVE-2011-1922,2011-05-31,dns,,,Unbound,resolver,1.4.10,2011-05-25,2011-05-25,-6,True,"      - Fix assertion failure when unbound generates an empty error reply         in response to a query, CVE-2011-1922 VU#531342.       - release 1.4"
CVE-2011-4528,,dns,,,Unbound,resolver,1.4.14,2011-12-19,2011-12-19,,,- Fix for VU#209659 CVE-2011-4528: Unbound denial of service vulnerabilities from nonstandard redirection and denial of existence http://www.unbound.n
CVE-2012-0206,2012-02-17,dns,,,PowerDNS Authoritative,authoritative,3.3.1,2013-12-17,2012-01-10,669,False,"fix CVE-2012-0206, and PowerDNS Authoritative Server Security Notification 2012-01"
CVE-2012-0206,2012-02-17,dns,,,PowerDNS Recursor,resolver,3.5.1,2013-05-03,2012-01-10,441,False,"fix CVE-2012-0206, and PowerDNS Authoritative Server Security Notification 2012-01"
CVE-2013-4854,2013-07-29,dnssec,trust-anchor,RFC 5011,BIND 9,both,9.8.6,2013-09-04,2013-07-17,37,False,3621.   [security]      Incorrect bounds checking on private type 'keydata'                         can lead to a remotely triggerable REQUIRE failure
CVE-2014-3214,2014-05-09,dns,,,BIND 9,both,,,2014-05-09,,,Add CVE-2014-3214 to README
CVE-2014-3859,2014-06-13,dns,,,BIND 9,both,9.8.8,2014-09-16,2014-05-26,95,False,add CVE-2014-3859
CVE-2014-8500,2014-12-11,dns,,,BIND 9,both,9.9.7,2015-02-18,2014-11-17,69,False,[v9_9] limit recursion depth and iterative queries
CVE-2014-8602,2014-12-11,dns,,,Unbound,resolver,1.5.1,2014-12-08,2014-12-08,-3,True,- Fix CVE-2014-8602: denial of service by making resolver chase   endless series of delegations.
CVE-2015-1349,2015-02-19,dnssec,trust-anchor,RFC 5011,BIND 9,both,,,2015-02-03,,,[v9_10_1_patch] avoid crash due to managed-key rollover
CVE-2015-1868,2015-05-18,dns,,,PowerDNS Authoritative,authoritative,3.3.2,2015-05-01,2015-05-01,-17,True,import CVE-2015-1868 patch
CVE-2015-1868,2015-05-18,dns,,,PowerDNS Recursor,resolver,,,2015-05-01,,,import CVE-2015-1868 patch
CVE-2015-3193,,dependency,,,BIND 9,both,,,2015-12-04,,,4270.   [security]      Update allowed OpenSSL versions as named is                         potentially vulnerable to CVE-2015-3193.
CVE-2015-4620,2015-07-08,dnssec,validation,RFC 4035,BIND 9,both,,,2015-06-17,,,add release notes for CVE-2015-4620
CVE-2015-5477,2015-07-29,dns,,,BIND 9,both,,,2015-07-14,,,4165.   [bug]           An failure to reset a value to NULL in tkey.c could                         result in an assertion failure. (CVE-2015-5477)   
CVE-2015-5722,2015-09-05,dnssec,dnssec-other,RFC 4033,BIND 9,both,,,2015-08-07,,,[v9_9_7_patch] address buffer accounting error
CVE-2015-8000,2015-12-16,dns,,,BIND 9,both,,,2015-11-16,,,"4260.   [security]      Insufficient testing when parsing a message allowed                         records with an incorrect class to be be accepted,"
CVE-2015-8461,2015-12-16,dns,,,BIND 9,both,,,2015-12-03,,,Add CVE-2015-8461
CVE-2015-8704,2016-01-20,dns,,,BIND 9,both,,,2015-12-31,,,4285.   [security]      Specific APL data could trigger a INSIST.                         (CVE-2015-8704) [RT #41396]
CVE-2015-8705,2016-01-20,dns,,,BIND 9,both,9.11.0,2016-09-29,2015-12-31,253,False,4286.   [security]      render_ecs errors were mishandled when printing out                         a OPT record resulting in a assertion failure.    
CVE-2016-1285,2016-03-09,dns,,,BIND 9,both,,,2016-02-18,,,4318.   [security]      Malformed control messages can trigger assertions                         in named and rndc. (CVE-2016-1285) [RT #41666]
CVE-2016-1286,2016-03-09,dns,,,BIND 9,both,,,2016-02-22,,,add CVE-2016-1286 to -P4 summary. Fix misspelling
CVE-2016-2088,2016-03-09,dns,,,BIND 9,both,9.11.0,2016-09-29,2016-02-27,204,False,add CVE-2016-2088
CVE-2016-2775,2016-07-19,dns,,,BIND 9,both,9.9.10,2017-04-14,2016-07-12,269,False,add CVE-2016-2775
CVE-2016-2776,2016-09-28,dns,,,BIND 9,both,,,2016-09-09,,,add CVE-2016-2776
CVE-2016-6170,2016-07-06,dns,,,BIND 9,both,9.10.5,2017-04-14,2016-11-02,282,False,4504.   [security]      Allow the maximum number of records in a zone to                         be specified.  This provides a control for issues    
CVE-2016-6171,2017-02-09,dns,,,Knot DNS,authoritative,2.3.0,2016-08-09,,-184,True,"- Zone size limit restriction for DDNS, AXFR, and IXFR (CVE-2016-6171)"
CVE-2016-6173,2017-02-09,dns,,,NSD,authoritative,4.1.11,2016-08-01,2016-07-07,-192,True,- Fix #790 Fixes CVE-2016-6173.
CVE-2016-8864,2016-11-02,dns,,,BIND 9,both,,,2016-10-21,,,CVE-2016-8864
CVE-2016-9131,2017-01-12,dns,,,BIND 9,both,,,2016-11-03,,,CVE-2016-9131
CVE-2016-9147,2017-01-12,dnssec,dnssec-other,RFC 4033,BIND 9,both,,,2016-11-04,,,CVE-2016-9147
CVE-2016-9444,2017-01-12,dns,,,BIND 9,both,9.9.10,2017-04-14,2016-11-22,92,False,4517.   [security]      Named could mishandle authority sections that were                         missing RRSIGs triggering an assertion failure.    
CVE-2016-9778,2019-01-16,dns,,,BIND 9,both,,,2016-12-09,,,4531.   [security]      'is_zone' was not being properly updated by redirect2                         and subsequently preserved leading to an asserti
CVE-2017-11104,2017-07-08,dns,,,Knot DNS,authoritative,2.5.2,2017-06-23,,-15,True,- CVE-2017-11104: Improper TSIG validity period check can allow TSIG forgery (Thanks to Synacktiv!)
CVE-2017-15105,2018-01-23,dnssec,nsec,RFC 4034,Unbound,resolver,1.7.0,2018-03-12,2018-01-19,48,False,- patch for CVE-2017-15105: vulnerability in the processing of   wildcard synthesized NSEC records.
CVE-2017-3135,2019-01-16,dns,,,BIND 9,both,,,2017-01-24,,,4556.   [security]      Combining dns64 and rpz can result in dereferencing                         a NULL pointer (read).  (CVE-2017-3135) [RT#44434]
CVE-2017-3136,2019-01-16,dns,,,BIND 9,both,9.12.0,2018-01-17,2017-02-15,-364,True,add CVE-2017-3136 note
CVE-2017-3137,2019-01-16,dns,,,BIND 9,both,,,2017-02-23,,,[v9_11_0_patch] remove unnecessary INSIST and prep 9.11.1-P4
CVE-2017-3138,2019-01-16,dns,,,BIND 9,both,,,2017-03-25,,,"4582.   [security]      'rndc """"' could trigger a assertion failure in named.                         (CVE-2017-3138) [RT #44924]"
CVE-2017-3140,2019-01-16,dns,,,BIND 9,both,,,2017-05-30,,,[v9_9_10_patch] fix rpz formerr loop
CVE-2017-3141,2019-01-16,dns,,,BIND 9,both,,,2017-05-30,,,[v9_9_10_patch] quote service registry paths
CVE-2017-3142,2019-01-16,dns,,,BIND 9,both,,,2017-06-27,,,[v9_9_10_patch] address TSIG bypass/forgery vulnerabilities
CVE-2017-3143,2019-01-16,dns,,,BIND 9,both,,,2017-06-27,,,[v9_9_10_patch] address TSIG bypass/forgery vulnerabilities
CVE-2017-3145,2019-01-16,dns,,,BIND 9,both,,,2018-01-03,,,[v9_9_11_patch] prevent use-after-free
CVE-2018-1000002,2018-01-22,dnssec,validation,RFC 4035,Knot Resolver,resolver,1.5.2,2018-01-22,,0,False,"- fix CVE-2018-1000002: insufficient DNSSEC validation, allowing"
CVE-2018-1046,,dns,,,PowerDNS Authoritative,authoritative,4.2.0,2019-08-27,2018-05-08,,,Merge pull request #6581 from rgacogne/docs-sec-2018-02
CVE-2018-1046,,dns,,,PowerDNS Recursor,resolver,4.2.0,2019-07-12,2018-05-08,,,Merge pull request #6581 from rgacogne/docs-sec-2018-02
CVE-2018-10920,2018-08-02,dns,,,Knot Resolver,resolver,2.4.1,2018-08-02,,0,False,- fix CVE-2018-10920: Improper input validation bug in DNS resolver component
CVE-2018-1110,2021-03-30,dns,,,Knot Resolver,resolver,2.3.0,2018-04-23,,-1072,True,- fix CVE-2018-1110: denial of service triggered by malformed DNS messages
CVE-2018-5737,2019-01-16,dnssec,nsec,RFC 4034,BIND 9,both,9.13.0,2018-05-22,2018-05-21,-239,True,Merge branch '185-fix-changes-entry' into 'master'
CVE-2018-5740,2019-01-16,dns,,,BIND 9,both,9.11.5,2018-10-06,2018-08-08,-102,True,Merge branch 'security-v9_11' into 'v9_11'
CVE-2019-10190,2019-07-16,dnssec,validation,RFC 4035,Knot Resolver,resolver,4.1.0,2019-07-10,,-6,True,- fix CVE-2019-10190: do not pass bogus negative answer to client (!827)
CVE-2019-10191,2019-07-16,dnssec,dnssec-other,RFC 4033,Knot Resolver,resolver,4.1.0,2019-07-10,2019-06-25,-6,True,lib/cache: fix CVE-2019-10191
CVE-2019-13207,,dns,,,NSD,authoritative,4.2.2,2019-08-13,2019-07-04,,,- Fix #20: CVE-2019-13207 Stack-based Buffer Overflow in the   dname_concatenate() function.  Reported by Frederic Cambus.   It causes the zone parser
CVE-2019-16866,2019-10-03,dns,,,Unbound,resolver,1.9.6,2019-12-06,2019-10-03,64,False,- Merge 1.9.4 release with fix for vulnerability CVE-2019-16866. - Continue with development of 1.9.5.
CVE-2019-18934,2019-11-19,dns,,,Unbound,resolver,1.9.6,2019-12-06,2019-11-19,17,False,"- Fix CVE-2019-18934, shell execution in ipsecmod."
CVE-2019-19331,2019-12-16,dns,,,Knot Resolver,resolver,4.3.0,2019-12-04,,-12,True,Security - CVE-2019-19331
CVE-2019-6467,2019-10-09,dns,,,BIND 9,both,,,2019-04-25,,,Merge branch '880-secure-asdfasdfasdf-abacadabra-crash-v9_12_4_patch-v9_12' into 'v9_12'
CVE-2019-6477,2019-11-26,dns,,,BIND 9,both,9.15.7,2019-12-13,2019-12-11,17,False,Fix release notes for BIND 9.15.6
CVE-2019-9512,,dependency,,,PowerDNS Authoritative,authoritative,4.3.0,2020-04-05,2019-08-14,,,Merge pull request #8200 from rgacogne/update-h2o-2.2.6
CVE-2019-9512,,dependency,,,PowerDNS Recursor,resolver,4.3.0,2020-02-26,2019-08-14,,,Merge pull request #8200 from rgacogne/update-h2o-2.2.6
CVE-2019-9514,,dependency,,,PowerDNS Authoritative,authoritative,4.3.0,2020-04-05,2019-08-14,,,Merge pull request #8200 from rgacogne/update-h2o-2.2.6
CVE-2019-9514,,dependency,,,PowerDNS Recursor,resolver,4.3.0,2020-02-26,2019-08-14,,,Merge pull request #8200 from rgacogne/update-h2o-2.2.6
CVE-2019-9515,,dependency,,,PowerDNS Authoritative,authoritative,4.3.0,2020-04-05,2019-08-14,,,Merge pull request #8200 from rgacogne/update-h2o-2.2.6
CVE-2019-9515,,dependency,,,PowerDNS Recursor,resolver,4.3.0,2020-02-26,2019-08-14,,,Merge pull request #8200 from rgacogne/update-h2o-2.2.6
