change,codepoint,rfc,rfc_published,t_first_seen,t_1pct,t_10pct,onset_years,peak_share_pct,current_share_pct,reached_common_usage,n_named_cves,cve_ids,cve_stages
RSASHA1,5,RFC 3110,2001-05,2009-04,2011-05,2011-05,7.92,100.0,1.521,True,0,,
SHA-1 DS digest,1,RFC 3658,2003-12,2009-04,2011-05,2011-05,5.33,100.0,22.176,True,0,,
SHA-256 DS digest,2,RFC 4509,2006-05,2009-04,2011-05,2011-05,2.92,98.283,98.277,True,0,,
RSASHA256,8,RFC 5702,2009-10,2010-04,2011-05,2012-06,0.5,74.642,22.3,True,1,CVE-2026-22866,in common usage=1
ECDSAP256SHA256,13,RFC 6605,2012-04,2015-12,2018-06,2019-03,3.67,67.955,67.955,True,2,CVE-2017-15094; CVE-2022-38177,"seen, below 1%=1; in common usage=1"
RSASHA1-NSEC3,7,RFC 5155,2008-03,2009-08,2011-05,2011-08,1.42,28.994,6.456,True,12,CVE-2009-3602; CVE-2010-0097; CVE-2011-4869; CVE-2014-0591; CVE-2021-40083; CVE-2023-50868; CVE-2026-33261; CVE-2026-33278; CVE-2026-42923; CVE-2026-10723; CVE-2026-13204; CVE-2026-52686,"seen, below 1%=2; in common usage=10"
SHA-384 DS digest,4,RFC 6605,2012-04,2013-08,2018-06,2022-03,1.33,10.865,8.845,True,0,,
RSASHA512,10,RFC 5702,2009-10,2010-08,2014-08,,0.83,3.723,0.372,False,0,,
ECDSAP384SHA384,14,RFC 6605,2012-04,2016-04,2018-09,,4.0,3.452,2.747,False,0,,
GOST DS digest,3,RFC 5933,2010-07,2011-05,2011-05,,0.83,3.125,0.109,False,0,,
Ed25519,15,RFC 8080,2017-02,2022-09,,,5.58,0.371,0.341,False,1,CVE-2022-38178,"seen, below 1%=1"
Ed448,16,RFC 8080,2017-02,2022-12,,,5.83,0.04,0.031,False,0,,
DSA/SHA-1,3,RFC 2536,1999-03,2009-04,,,10.08,0.0,0.0,False,0,,
ECC-GOST,12,RFC 5933,2010-07,2013-01,,,2.5,0.0,0.0,False,0,,
SM2SM3,17,RFC 9563,2024-12,,,,,0.0,0.0,False,0,,
ECC-GOST12,23,RFC 9558,2024-04,,,,,0.0,0.0,False,0,,
GOST-2012 digest,5,RFC 9558,2024-04,,,,,0.0,0.0,False,0,,
SM3 DS digest,6,RFC 9563,2024-12,,,,,0.0,0.0,False,0,,
