cve,published,cvss,mechanism,change,rfc,stage_when_published,share_pct_then
CVE-2009-3602,2009-10-13,7.5,nsec3,RSASHA1-NSEC3,RFC 5155,"seen, below 1%",11.602
CVE-2010-0097,2010-01-22,4.3,nsec3,RSASHA1-NSEC3,RFC 5155,"seen, below 1%",15.385
CVE-2011-4869,2011-12-20,7.8,nsec3,RSASHA1-NSEC3,RFC 5155,in common usage,17.374
CVE-2014-0591,2014-01-14,2.6,nsec3,RSASHA1-NSEC3,RFC 5155,in common usage,9.042
CVE-2021-40083,2021-08-25,7.5,nsec3,RSASHA1-NSEC3,RFC 5155,in common usage,8.646
CVE-2023-50868,2024-02-14,7.5,nsec3,RSASHA1-NSEC3,RFC 5155,in common usage,5.085
CVE-2026-33261,2026-04-22,5.9,nsec3,RSASHA1-NSEC3,RFC 5155,in common usage,5.856
CVE-2026-33278,2026-05-20,9.8,nsec3,RSASHA1-NSEC3,RFC 5155,in common usage,5.696
CVE-2026-42923,2026-05-20,5.3,nsec3,RSASHA1-NSEC3,RFC 5155,in common usage,5.696
CVE-2026-10723,2026-07-22,6.8,nsec3,RSASHA1-NSEC3,RFC 5155,in common usage,5.382
CVE-2026-13204,2026-07-22,7.5,nsec3,RSASHA1-NSEC3,RFC 5155,in common usage,5.382
CVE-2026-52686,2026-07-23,3.7,nsec3,RSASHA1-NSEC3,RFC 5155,in common usage,5.382
CVE-2026-22866,2026-02-25,7.5,algorithm,RSASHA256,RFC 5702,in common usage,21.371
CVE-2017-15094,2018-01-23,5.9,algorithm,ECDSAP256SHA256,RFC 6605,"seen, below 1%",6.642
CVE-2022-38177,2022-09-21,7.5,algorithm,ECDSAP256SHA256,RFC 6605,in common usage,35.218
CVE-2022-38178,2022-09-21,7.5,algorithm,Ed25519,RFC 8080,"seen, below 1%",0.024
