event,kind,month,rfc,mechanism,products,series,measure,rate_at_month_pp,rate_window_pp_per_month,title,verdict
CVE-2013-4854,cve_patch,2013-09,RFC 5011,trust-anchor,['bind9'],reverse signed share (strict panel),raw,0.0014,0.0016,,
CVE-2015-1349,cve_patch,2015-02,RFC 5011,trust-anchor,['bind9'],reverse signed share (strict panel),raw,-0.001,0.0018,,
CVE-2015-4620,cve_patch,2015-06,RFC 4035,validation,['bind9'],reverse signed share (strict panel),raw,0.0016,0.0018,,
CVE-2015-5722,cve_patch,2015-08,RFC 4033,dnssec-other,['bind9'],reverse signed share (strict panel),raw,0.0012,0.0009,,
CVE-2016-9147,cve_patch,2016-11,RFC 4033,dnssec-other,['bind9'],reverse signed share (strict panel),raw,0.0028,0.0027,,
CVE-2017-15105,cve_patch,2018-03,RFC 4034,nsec,['unbound'],reverse signed share (strict panel),raw,0.0004,0.001,,
CVE-2018-1000002,cve_patch,2018-01,RFC 4035,validation,"['knot', 'kresd']",reverse signed share (strict panel),raw,-0.0004,-0.0012,,
CVE-2018-5737,cve_patch,2018-05,RFC 4034,nsec,['bind9'],reverse signed share (strict panel),raw,0.002,0.0021,,
CVE-2019-10190,cve_patch,2019-07,RFC 4035,validation,"['knot', 'kresd']",reverse signed share (strict panel),raw,0.0076,0.0047,,
CVE-2019-10191,cve_patch,2019-07,RFC 4033,dnssec-other,"['knot', 'kresd']",reverse signed share (strict panel),raw,0.0076,0.0047,,
CVE-2020-25829,cve_patch,2020-10,RFC 4035,validation,"['pdns-auth', 'pdns-rec']",reverse signed share (strict panel),raw,-0.0025,0.0073,,
CVE-2021-40083,cve_patch,2021-10,RFC 5155,nsec3,['kresd'],reverse signed share (strict panel),raw,0.0051,0.0068,,
CVE-2022-3204,cve_patch,2022-09,RFC 4034,dnskey,['unbound'],reverse signed share (strict panel),raw,0.0036,0.004,,
CVE-2022-3736,cve_patch,2023-01,RFC 4035,rrsig,['bind9'],reverse signed share (strict panel),raw,0.0032,0.006,,
CVE-2022-38177,cve_patch,2022-09,RFC 6605/8080,algorithm,['bind9'],reverse signed share (strict panel),raw,0.0036,0.004,,
CVE-2022-38178,cve_patch,2022-09,RFC 6605/8080,algorithm,['bind9'],reverse signed share (strict panel),raw,0.0036,0.004,,
CVE-2023-50387,cve_patch,2024-01,RFC 4034,dnskey,"['bind9', 'kresd', 'pdns-auth', 'pdns-rec', 'unbound']",reverse signed share (strict panel),raw,0.0056,0.0036,,
CVE-2023-50868,cve_patch,2024-02,RFC 5155,nsec3,"['bind9', 'kresd', 'pdns-auth', 'pdns-rec', 'unbound']",reverse signed share (strict panel),raw,0.0031,0.0033,,
CVE-2024-1975,cve_patch,2024-07,RFC 4035,validation,['bind9'],reverse signed share (strict panel),raw,0.0095,0.0071,,
CVE-2025-8677,cve_patch,2025-10,RFC 4034,dnskey,['bind9'],reverse signed share (strict panel),raw,0.0289,0.0074,,
CVE-2026-10723,cve_patch,2026-07,RFC 5155,nsec3,['bind9'],reverse signed share (strict panel),raw,0.0125,0.013,,
CVE-2026-10822,cve_patch,2026-06,RFC 4034,dnskey,['bind9'],reverse signed share (strict panel),raw,0.0091,0.0117,,
CVE-2026-11605,cve_patch,2026-07,RFC 4035,rrsig,['bind9'],reverse signed share (strict panel),raw,0.0125,0.013,,
CVE-2026-11622,cve_patch,2026-06,RFC 4035,validation,['bind9'],reverse signed share (strict panel),raw,0.0091,0.0117,,
CVE-2026-11721,cve_patch,2026-07,RFC 4035,rrsig,['bind9'],reverse signed share (strict panel),raw,0.0125,0.013,,
CVE-2026-13204,cve_patch,2026-07,RFC 5155,nsec3,['bind9'],reverse signed share (strict panel),raw,0.0125,0.013,,
CVE-2026-13321,cve_patch,2026-07,RFC 4034,nsec,['bind9'],reverse signed share (strict panel),raw,0.0125,0.013,,
CVE-2026-1519,cve_patch,2026-03,RFC 4035,validation,['bind9'],reverse signed share (strict panel),raw,0.0234,0.0112,,
CVE-2026-3104,cve_patch,2026-03,RFC 4033,dnssec-other,['bind9'],reverse signed share (strict panel),raw,0.0234,0.0112,,
CVE-2026-33278,cve_patch,2026-07,RFC 5155,nsec3,['unbound'],reverse signed share (strict panel),raw,0.0125,0.013,,
CVE-2026-42923,cve_patch,2026-05,RFC 5155,nsec3,['unbound'],reverse signed share (strict panel),raw,0.0095,0.0112,,
CVE-2026-42959,cve_patch,2026-07,RFC 4035,validation,['unbound'],reverse signed share (strict panel),raw,0.0125,0.013,,
CVE-2026-44687,cve_patch,2026-07,RFC 4033,dnssec-other,['unbound'],reverse signed share (strict panel),raw,0.0125,0.013,,
CVE-2026-44690,cve_patch,2026-07,RFC 4034,nsec,['unbound'],reverse signed share (strict panel),raw,0.0125,0.013,,
CVE-2026-46582,cve_patch,2026-07,RFC 4034,nsec,['unbound'],reverse signed share (strict panel),raw,0.0125,0.013,,
CVE-2026-50045,cve_patch,2026-07,RFC 4033,dnssec-other,['unbound'],reverse signed share (strict panel),raw,0.0125,0.013,,
CVE-2026-50243,cve_patch,2026-07,RFC 4035,rrsig,['unbound'],reverse signed share (strict panel),raw,0.0125,0.013,,
CVE-2026-50248,cve_patch,2026-07,RFC 4035,rrsig,['unbound'],reverse signed share (strict panel),raw,0.0125,0.013,,
