month,source,block,kind,from_alg,to_alg,n_delegations,scale
2009-08,ripe,143.79.in-addr.arpa,rollover,5,7,16,bulk
2009-08,ripe,17.217.in-addr.arpa,sign,,5,1,single delegation
2009-08,ripe,193.193.in-addr.arpa,sign,,5,7,bulk
2009-08,ripe,205.62.in-addr.arpa,sign,,5,1,single delegation
2009-08,ripe,30.193.in-addr.arpa,rollover,5,7,4,small group
2009-08,ripe,7.6.0.1.0.a.2.ip6.arpa,rollover,5,7,1,single delegation
2009-12,ripe,6.5.0.1.0.a.2.ip6.arpa,sign,,7,1,single delegation
2009-12,ripe,98.79.in-addr.arpa,sign,,7,8,bulk
2010-02,ripe,205.62.in-addr.arpa,sign,,5,2,small group
2010-02,ripe,54.212.in-addr.arpa,sign,,5,2,small group
2010-02,ripe,f.0.0.c.7.6.0.1.0.0.2.ip6.arpa,sign,,5,1,single delegation
2010-03,ripe,0.0.0.8.7.6.0.1.0.0.2.ip6.arpa,sign,,5,2,small group
2010-03,ripe,0.194.in-addr.arpa,sign,,5,3,small group
2010-03,ripe,1.0.0.8.7.6.0.1.0.0.2.ip6.arpa,sign,,5,2,small group
2010-03,ripe,216.195.in-addr.arpa,sign,,5,1,single delegation
2010-03,ripe,29.193.in-addr.arpa,sign,,5,1,single delegation
2010-03,ripe,31.217.in-addr.arpa,sign,,5,5,bulk
2010-03,ripe,8.4.1.1.0.0.2.ip6.arpa,sign,,5,1,single delegation
2010-04,ripe,105.193.in-addr.arpa,sign,,5,1,single delegation
2010-04,ripe,182.213.in-addr.arpa,sign,,5,31,bulk
2010-04,ripe,e.4.1.1.0.0.2.ip6.arpa,sign,,8,1,single delegation
2010-05,ripe,124.94.in-addr.arpa,sign,,5,1,single delegation
2010-05,ripe,138.193.in-addr.arpa,sign,,5,1,single delegation
2010-05,ripe,17.193.in-addr.arpa,sign,,5,1,single delegation
2010-05,ripe,191.195.in-addr.arpa,sign,,5,2,small group
2010-05,ripe,194.91.in-addr.arpa,sign,,5,1,single delegation
2010-05,ripe,23.178.in-addr.arpa,sign,,5,1,single delegation
2010-05,ripe,7.3.e164.arpa,sign,,5,1,single delegation
2010-06,ripe,124.94.in-addr.arpa,sign,,5,2,small group
2010-06,ripe,19.178.in-addr.arpa,sign,,5,16,bulk
2010-07,ripe,2.4.e164.arpa,rollover,5,8,1,single delegation
2010-08,ripe,0.d.4.1.0.0.2.ip6.arpa,sign,,5,1,single delegation
2010-08,ripe,1.2.0.c.7.6.0.1.0.0.2.ip6.arpa,sign,,5,1,single delegation
2010-08,ripe,109.78.in-addr.arpa,sign,,5,16,bulk
2010-08,ripe,111.89.in-addr.arpa,unsign,5,,1,single delegation
2010-08,ripe,185.93.in-addr.arpa,sign,,5,16,bulk
2010-08,ripe,250.195.in-addr.arpa,sign,,5,29,bulk
2010-08,ripe,251.178.in-addr.arpa,sign,,5,1,single delegation
2010-08,ripe,43.195.in-addr.arpa,sign,,5,2,small group
2010-08,ripe,6.7.1.2.0.a.2.ip6.arpa,sign,,5,1,single delegation
2010-08,ripe,68.109.in-addr.arpa,sign,,5,8,bulk
2010-08,ripe,89.62.in-addr.arpa,sign,,5,32,bulk
2010-08,ripe,a.5.1.0.0.a.2.ip6.arpa,sign,,7,1,single delegation
2010-08,ripe,a.c.4.1.0.0.2.ip6.arpa,sign,,10,1,single delegation
2010-08,ripe,f.a.1.1.0.0.2.ip6.arpa,unsign,5,,1,single delegation
2010-09,ripe,7.3.e164.arpa,sign,,7,1,single delegation
2010-10,ripe,0.0.0.5.0.0.0.8.7.a.0.1.0.0.2.ip6.arpa,sign,,5,2,small group
2010-10,ripe,0.193.in-addr.arpa,sign,,5,5,bulk
2010-10,ripe,111.89.in-addr.arpa,unsign,5,,1,single delegation
2010-10,ripe,214.195.in-addr.arpa,unsign,5,,1,single delegation
2010-10,ripe,229.94.in-addr.arpa,sign,,7,2,small group
2010-10,ripe,e.0.0.c.7.6.0.1.0.0.2.ip6.arpa,sign,,5,1,single delegation
2010-10,ripe,f.7.0.1.0.0.2.ip6.arpa,sign,,5,1,single delegation
2010-11,ripe,111.89.in-addr.arpa,unsign,5,,10,bulk
2010-11,ripe,137.83.in-addr.arpa,sign,,5,1,single delegation
2010-11,ripe,141.82.in-addr.arpa,sign,,5,1,single delegation
2010-11,ripe,38.195.in-addr.arpa,sign,,5,1,single delegation
2010-11,ripe,72.212.in-addr.arpa,sign,,5,14,bulk
2011-05,arin,10800,sign,,5,1,single delegation
2011-05,arin,128.in-addr.arpa,sign,,5,1,single delegation
2011-05,arin,149.in-addr.arpa,sign,,5,1,single delegation
2011-05,arin,152.204.in-addr.arpa,sign,,5,7,bulk
2011-05,arin,17.204.in-addr.arpa,sign,,5,1,single delegation
2011-05,arin,49.198.in-addr.arpa,sign,,5,1,single delegation
2011-05,arin,5.192.in-addr.arpa,sign,,5,2,small group
2011-05,arin,6.199.in-addr.arpa,sign,,5,15,bulk
2011-05,arin,7.199.in-addr.arpa,sign,,5,1,single delegation
2011-05,arin,83.192.in-addr.arpa,sign,,5,1,single delegation
2011-05,arin,86400,sign,,"5,7,8",1,single delegation
