month,source,delegation,block,kind,from_alg,to_alg
2012-06,afrinic,177.96.192.in-addr.arpa,96.192.in-addr.arpa,sign,,8
2012-06,afrinic,30.96.192.in-addr.arpa,96.192.in-addr.arpa,sign,,8
2012-06,afrinic,124.160.in-addr.arpa,160.in-addr.arpa,sign,,8
2012-06,afrinic,2.216.196.in-addr.arpa,216.196.in-addr.arpa,sign,,8
2012-06,afrinic,26.96.192.in-addr.arpa,96.192.in-addr.arpa,sign,,8
2012-06,afrinic,31.96.192.in-addr.arpa,96.192.in-addr.arpa,sign,,8
2012-06,afrinic,28.96.192.in-addr.arpa,96.192.in-addr.arpa,sign,,8
2012-06,afrinic,27.96.192.in-addr.arpa,96.192.in-addr.arpa,sign,,8
2012-06,afrinic,24.96.192.in-addr.arpa,96.192.in-addr.arpa,sign,,8
2012-06,afrinic,246.94.192.in-addr.arpa,94.192.in-addr.arpa,sign,,8
2012-06,afrinic,29.96.192.in-addr.arpa,96.192.in-addr.arpa,sign,,8
2012-06,afrinic,25.96.192.in-addr.arpa,96.192.in-addr.arpa,sign,,8
2012-06,afrinic,0.a.2.4.1.0.0.2.ip6.arpa,a.2.4.1.0.0.2.ip6.arpa,sign,,8
2012-08,afrinic,92.79.41.in-addr.arpa,79.41.in-addr.arpa,sign,,5
2012-08,afrinic,244.216.196.in-addr.arpa,216.196.in-addr.arpa,sign,,5
2012-10,afrinic,2.216.196.in-addr.arpa,216.196.in-addr.arpa,unsign,8,
2012-11,afrinic,244.216.196.in-addr.arpa,216.196.in-addr.arpa,unsign,5,
2013-10,afrinic,92.79.41.in-addr.arpa,79.41.in-addr.arpa,unsign,5,
2013-12,afrinic,149.223.196.in-addr.arpa,223.196.in-addr.arpa,sign,,8
2013-12,afrinic,145.223.196.in-addr.arpa,223.196.in-addr.arpa,sign,,8
2013-12,afrinic,0.d.0.0.8.f.3.4.1.0.0.2.ip6.arpa,d.0.0.8.f.3.4.1.0.0.2.ip6.arpa,sign,,8
2013-12,afrinic,148.223.196.in-addr.arpa,223.196.in-addr.arpa,sign,,8
2013-12,afrinic,144.223.196.in-addr.arpa,223.196.in-addr.arpa,sign,,8
2013-12,afrinic,150.223.196.in-addr.arpa,223.196.in-addr.arpa,sign,,8
2013-12,afrinic,146.223.196.in-addr.arpa,223.196.in-addr.arpa,sign,,8
2013-12,afrinic,151.223.196.in-addr.arpa,223.196.in-addr.arpa,sign,,8
2013-12,afrinic,147.223.196.in-addr.arpa,223.196.in-addr.arpa,sign,,8
2014-01,afrinic,149.223.196.in-addr.arpa,223.196.in-addr.arpa,unsign,8,
2014-01,afrinic,150.223.196.in-addr.arpa,223.196.in-addr.arpa,unsign,8,
2014-01,afrinic,146.223.196.in-addr.arpa,223.196.in-addr.arpa,unsign,8,
2014-01,afrinic,151.223.196.in-addr.arpa,223.196.in-addr.arpa,unsign,8,
2014-01,afrinic,145.223.196.in-addr.arpa,223.196.in-addr.arpa,unsign,8,
2014-01,afrinic,147.223.196.in-addr.arpa,223.196.in-addr.arpa,unsign,8,
2014-01,afrinic,0.d.0.0.8.f.3.4.1.0.0.2.ip6.arpa,d.0.0.8.f.3.4.1.0.0.2.ip6.arpa,unsign,8,
2014-01,afrinic,148.223.196.in-addr.arpa,223.196.in-addr.arpa,unsign,8,
2014-01,afrinic,144.223.196.in-addr.arpa,223.196.in-addr.arpa,unsign,8,
2014-07,afrinic,210.73.154.in-addr.arpa,73.154.in-addr.arpa,sign,,8
2014-07,afrinic,214.73.154.in-addr.arpa,73.154.in-addr.arpa,sign,,8
2014-07,afrinic,215.73.154.in-addr.arpa,73.154.in-addr.arpa,sign,,8
2014-07,afrinic,208.73.154.in-addr.arpa,73.154.in-addr.arpa,sign,,8
2014-07,afrinic,212.73.154.in-addr.arpa,73.154.in-addr.arpa,sign,,8
2014-07,afrinic,211.73.154.in-addr.arpa,73.154.in-addr.arpa,sign,,8
2014-07,afrinic,213.73.154.in-addr.arpa,73.154.in-addr.arpa,sign,,8
2014-07,afrinic,209.73.154.in-addr.arpa,73.154.in-addr.arpa,sign,,8
2014-10,afrinic,23.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,2.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,228.41.in-addr.arpa,41.in-addr.arpa,sign,,8
2014-10,afrinic,25.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,24.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,17.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,225.41.in-addr.arpa,41.in-addr.arpa,sign,,8
2014-10,afrinic,29.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,7.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,14.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,5.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,231.41.in-addr.arpa,41.in-addr.arpa,sign,,8
2014-10,afrinic,227.41.in-addr.arpa,41.in-addr.arpa,sign,,8
2014-10,afrinic,21.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,229.41.in-addr.arpa,41.in-addr.arpa,sign,,8
2014-10,afrinic,1.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,8.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,226.41.in-addr.arpa,41.in-addr.arpa,sign,,8
2014-10,afrinic,26.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,27.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,19.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,6.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,0.5.3.4.1.0.0.2.ip6.arpa,5.3.4.1.0.0.2.ip6.arpa,sign,,8
2014-10,afrinic,16.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,20.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,4.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,9.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,31.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,11.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,230.41.in-addr.arpa,41.in-addr.arpa,sign,,8
2014-10,afrinic,224.41.in-addr.arpa,41.in-addr.arpa,sign,,8
2014-10,afrinic,3.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,0.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,18.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,15.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,10.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-10,afrinic,22.197.in-addr.arpa,197.in-addr.arpa,sign,,8
2014-11,afrinic,170.150.213.in-addr.arpa,150.213.in-addr.arpa,sign,,8
2014-11,afrinic,37.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,11.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,87.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,92.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,41.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,80.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,63.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,114.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,64.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,106.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,188.150.213.in-addr.arpa,150.213.in-addr.arpa,sign,,8
2014-11,afrinic,90.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,24.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,26.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,102.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,101.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,164.150.213.in-addr.arpa,150.213.in-addr.arpa,sign,,8
2014-11,afrinic,168.150.213.in-addr.arpa,150.213.in-addr.arpa,sign,,8
2014-11,afrinic,17.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,96.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,121.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,191.150.213.in-addr.arpa,150.213.in-addr.arpa,sign,,8
2014-11,afrinic,184.150.213.in-addr.arpa,150.213.in-addr.arpa,sign,,8
2014-11,afrinic,16.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,88.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,97.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,113.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,171.150.213.in-addr.arpa,150.213.in-addr.arpa,sign,,8
2014-11,afrinic,122.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,15.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,174.150.213.in-addr.arpa,150.213.in-addr.arpa,sign,,8
2014-11,afrinic,176.150.213.in-addr.arpa,150.213.in-addr.arpa,sign,,8
2014-11,afrinic,53.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,73.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,76.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,183.150.213.in-addr.arpa,150.213.in-addr.arpa,sign,,8
2014-11,afrinic,93.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,181.150.213.in-addr.arpa,150.213.in-addr.arpa,sign,,8
2014-11,afrinic,82.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,55.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,190.150.213.in-addr.arpa,150.213.in-addr.arpa,sign,,8
2014-11,afrinic,39.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,94.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,85.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,111.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,20.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,83.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,167.150.213.in-addr.arpa,150.213.in-addr.arpa,sign,,8
2014-11,afrinic,34.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,104.95.193.in-addr.arpa,95.193.in-addr.arpa,sign,,8
2014-11,afrinic,163.150.213.in-addr.arpa,150.213.in-addr.arpa,sign,,8
