month,source,kind,from_alg,to_alg,n_delegations,n_blocks,largest_block_share,hhi,level
2009-08,ripe,rollover,5,7,21,3,0.762,0.619,concentrated (one block is most of it)
2009-08,ripe,sign,,5,9,3,0.778,0.6296,concentrated (one block is most of it)
2009-12,ripe,sign,,7,9,2,0.889,0.8025,concentrated (one block is most of it)
2010-02,ripe,sign,,5,5,3,0.4,0.36,diffuse (many blocks)
2010-03,ripe,sign,,5,15,7,0.333,0.2,diffuse (many blocks)
2010-04,ripe,sign,,5,32,2,0.969,0.9395,concentrated (one block is most of it)
2010-04,ripe,sign,,8,1,1,1.0,1.0,single delegation
2010-05,ripe,sign,,5,8,7,0.25,0.1562,diffuse (many blocks)
2010-06,ripe,sign,,5,18,2,0.889,0.8025,concentrated (one block is most of it)
2010-07,ripe,rollover,5,8,1,1,1.0,1.0,single delegation
2010-08,ripe,sign,,10,1,1,1.0,1.0,single delegation
2010-08,ripe,sign,,5,107,10,0.299,0.2139,diffuse (many blocks)
2010-08,ripe,sign,,7,1,1,1.0,1.0,single delegation
2010-08,ripe,unsign,5,,2,2,0.5,0.5,concentrated (one block is most of it)
2010-09,ripe,sign,,7,1,1,1.0,1.0,single delegation
2010-10,ripe,sign,,5,9,4,0.556,0.3827,concentrated (one block is most of it)
2010-10,ripe,sign,,7,2,1,1.0,1.0,one block
2010-10,ripe,unsign,5,,2,2,0.5,0.5,concentrated (one block is most of it)
2010-11,ripe,sign,,5,17,4,0.824,0.6886,concentrated (one block is most of it)
2010-11,ripe,unsign,5,,10,1,1.0,1.0,one block
2011-05,arin,sign,,5,31,10,0.484,0.2966,diffuse (many blocks)
2011-05,arin,sign,,"5,7,8",1,1,1.0,1.0,single delegation
2011-05,ripe,rollover,5,7,1,1,1.0,1.0,single delegation
2011-05,ripe,rollover,5,8,2,2,0.5,0.5,concentrated (one block is most of it)
2011-05,ripe,sign,,5,25,16,0.32,0.1392,diffuse (many blocks)
2011-05,ripe,sign,,7,10,7,0.4,0.22,diffuse (many blocks)
2011-05,ripe,sign,,8,26,12,0.308,0.1598,diffuse (many blocks)
