n,rfc,basis,source,start,end,delta,level_before,level_after,share_before_pct,share_after_pct,months_after_rfc,nearest_validator_limit,nearest_cve,split_new_signings_at_most,split_rollovers_at_least,nearest_signer_release_what,nearest_signer_release_date,nearest_signer_release_lag_months,nearest_signer_release_detail,nearest_default_change_what,nearest_default_change_date,nearest_default_change_lag_months,nearest_default_change_detail,nearest_any_release_what,nearest_any_release_date,nearest_any_release_lag_months,nearest_cve_what,nearest_cve_date,nearest_cve_lag_months,nearest_default_change,nearest_validator_limit_what,nearest_validator_limit_date,nearest_validator_limit_lag_months,nearest_validator_limit_detail
1,RFC 5702,forward,ch,2021-09,2021-12,73741,19631,93372,4.706,10.972,143,,,73741.0,0.0,Knot DNS 2.0.0,2015-06-26,75,default signing algorithm -> RSASHA256,Knot DNS 2.0.0,2015-06-26,75.0,default signing algorithm -> RSASHA256,BIND 9 9.16.21,2021-09-07,0,,,,,,,,
2,RFC 5702,forward,li,2021-12,2021-12,1012,1232,2244,11.747,18.256,146,,,1012.0,0.0,Knot DNS 2.0.0,2015-06-26,78,default signing algorithm -> RSASHA256,Knot DNS 2.0.0,2015-06-26,78.0,default signing algorithm -> RSASHA256,Unbound 1.14.0,2021-12-01,0,,,,,,,,
3,RFC 5702,forward,nu,2017-11,2017-11,38615,95703,134318,92.571,94.584,97,,,38615.0,0.0,Knot DNS 2.0.0,2015-06-26,29,default signing algorithm -> RSASHA256,Knot DNS 2.0.0,2015-06-26,29.0,default signing algorithm -> RSASHA256,Knot DNS 2.5.6,2017-11-02,0,,,,,,,,
4,RFC 5702,forward,se,2017-11,2017-11,123402,697902,821304,94.642,95.451,97,,,123031.0,371.0,Knot DNS 2.0.0,2015-06-26,29,default signing algorithm -> RSASHA256,Knot DNS 2.0.0,2015-06-26,29.0,default signing algorithm -> RSASHA256,Knot DNS 2.5.6,2017-11-02,0,,,,,,,,
5,RFC 5702,reverse,afrinic,2014-09,2014-10,176,20,196,,100.0,59,,,,,OpenDNSSEC 1.2.0,2011-03-18,42,default signing algorithm -> 8 (RSASHA256),OpenDNSSEC 1.2.0,2011-03-18,42.0,default signing algorithm -> 8 (RSASHA256),NSD 4.1.0,2014-09-04,0,,,,,,,,
6,RFC 5702,reverse,apnic,2012-01,2012-01,36,0,36,0.0,46.154,27,,,,,OpenDNSSEC 1.2.0,2011-03-18,10,default signing algorithm -> 8 (RSASHA256),OpenDNSSEC 1.2.0,2011-03-18,10.0,default signing algorithm -> 8 (RSASHA256),PowerDNS Auth 3.0.1,2012-01-10,0,,,,,,,,
7,RFC 5702,reverse,apnic,2014-03,2014-03,54,63,117,56.25,70.482,53,,,,,OpenDNSSEC 1.2.0,2011-03-18,36,default signing algorithm -> 8 (RSASHA256),OpenDNSSEC 1.2.0,2011-03-18,36.0,default signing algorithm -> 8 (RSASHA256),Unbound 1.4.22,2014-03-12,0,,,,,,,,
8,RFC 5702,reverse,apnic,2015-03,2015-03,39,134,173,69.792,75.217,65,,,,,OpenDNSSEC 1.2.0,2011-03-18,48,default signing algorithm -> 8 (RSASHA256),OpenDNSSEC 1.2.0,2011-03-18,48.0,default signing algorithm -> 8 (RSASHA256),PowerDNS Auth 3.4.3,2015-03-01,0,,,,,,,,
9,RFC 5702,reverse,apnic,2015-11,2015-11,338,182,520,74.286,89.041,73,,,,,Knot DNS 2.0.0,2015-06-26,5,default signing algorithm -> RSASHA256,Knot DNS 2.0.0,2015-06-26,5.0,default signing algorithm -> RSASHA256,PowerDNS Auth 3.4.7,2015-11-03,0,,,,,,,,
10,RFC 5702,reverse,apnic,2016-11,2016-12,943,543,1486,88.436,95.44,85,,,,,Knot DNS 2.0.0,2015-06-26,17,default signing algorithm -> RSASHA256,Knot DNS 2.0.0,2015-06-26,17.0,default signing algorithm -> RSASHA256,Knot DNS 2.3.2,2016-11-04,0,,,,,,,,
