project,version,released,month,in_corpus_span,changes_in_window,window_months,corpus_median_window
bind9,9.0.0,2000-10-18,2000-10,False,,3,229
bind9,9.1.0,2001-01-17,2001-01,False,,3,229
bind9,9.1.1,2001-03-28,2001-03,False,,3,229
bind9,9.1.2,2001-05-04,2001-05,False,,3,229
bind9,9.1.3,2001-07-03,2001-07,False,,3,229
bind9,9.2.0,2002-02-08,2002-02,False,,3,229
bind9,9.2.1,2002-04-23,2002-04,False,,3,229
bind9,9.2.2,2003-02-21,2003-02,False,,3,229
bind9,9.2.3,2003-10-17,2003-10,False,,3,229
bind9,9.2.4,2004-09-20,2004-09,False,,3,229
bind9,9.2.5,2005-03-03,2005-03,False,,3,229
bind9,9.2.6,2005-12-14,2005-12,False,,3,229
bind9,9.2.7,2006-12-07,2006-12,False,,3,229
bind9,9.2.8,2007-01-12,2007-01,False,,3,229
bind9,9.4.0,2007-02-15,2007-02,False,,3,229
bind9,9.3.0,2007-03-06,2007-03,False,,3,229
bind9,9.3.1,2007-03-06,2007-03,False,,3,229
bind9,9.3.2,2007-03-06,2007-03,False,,3,229
bind9,9.3.3,2007-03-06,2007-03,False,,3,229
bind9,9.3.4,2007-03-06,2007-03,False,,3,229
bind9,9.4.1,2007-04-30,2007-04,False,,3,229
bind9,9.2.9,2007-09-20,2007-09,False,,3,229
bind9,9.4.2,2007-11-21,2007-11,False,,3,229
bind9,9.3.5,2008-04-03,2008-04,False,,3,229
bind9,9.5.0,2008-05-22,2008-05,False,,3,229
bind9,9.3.6,2008-11-12,2008-11,False,,3,229
bind9,9.4.3,2008-11-12,2008-11,False,,3,229
bind9,9.5.1,2008-12-21,2008-12,False,,3,229
bind9,9.6.0,2008-12-21,2008-12,False,,3,229
bind9,9.6.1,2009-06-09,2009-06,False,,3,229
bind9,9.5.2,2009-09-21,2009-09,False,,3,229
bind9,9.7.0,2010-02-16,2010-02,True,53,3,229
bind9,9.6.2,2010-02-18,2010-02,True,53,3,229
bind9,9.7.1,2010-06-15,2010-06,True,128,3,229
bind9,9.7.2,2010-09-02,2010-09,True,29,3,229
bind9,9.6.3,2011-01-31,2011-01,False,,3,229
bind9,9.8.0,2011-02-21,2011-02,False,,3,229
bind9,9.7.3,2011-02-26,2011-02,False,,3,229
bind9,9.7.4,2011-07-24,2011-07,True,34,3,229
bind9,9.8.1,2011-08-24,2011-08,True,37,3,229
bind9,9.0.1,2012-01-21,2012-01,True,183,3,229
bind9,9.9.0,2012-02-23,2012-02,True,86,3,229
bind9,9.7.5,2012-03-22,2012-03,True,26,3,229
bind9,9.8.2,2012-04-09,2012-04,True,49,3,229
bind9,9.7.6,2012-05-10,2012-05,True,55,3,229
bind9,9.8.3,2012-05-10,2012-05,True,55,3,229
bind9,9.9.1,2012-05-10,2012-05,True,55,3,229
bind9,9.7.7,2012-09-26,2012-09,True,63,3,229
bind9,9.8.4,2012-09-26,2012-09,True,63,3,229
bind9,9.9.2,2012-09-26,2012-09,True,63,3,229
bind9,9.8.5,2013-05-17,2013-05,True,58,3,229
bind9,9.9.3,2013-05-17,2013-05,True,58,3,229
bind9,9.8.6,2013-09-04,2013-09,True,86,3,229
bind9,9.9.4,2013-09-04,2013-09,True,86,3,229
bind9,9.8.7,2014-01-27,2014-01,True,180,3,229
bind9,9.9.5,2014-01-27,2014-01,True,180,3,229
bind9,9.10.0,2014-04-28,2014-04,True,101,3,229
bind9,9.10.1,2014-09-16,2014-09,True,462,3,229
bind9,9.8.8,2014-09-16,2014-09,True,462,3,229
bind9,9.9.6,2014-09-16,2014-09,True,462,3,229
bind9,9.10.2,2015-02-18,2015-02,True,161,3,229
bind9,9.9.7,2015-02-18,2015-02,True,161,3,229
bind9,9.10.3,2015-09-09,2015-09,True,37,3,229
bind9,9.9.8,2015-09-09,2015-09,True,37,3,229
bind9,9.10.4,2016-04-20,2016-04,True,52,3,229
bind9,9.9.9,2016-04-20,2016-04,True,52,3,229
bind9,9.11.0,2016-09-29,2016-09,True,96,3,229
bind9,9.10.5,2017-04-14,2017-04,True,238,3,229
bind9,9.11.1,2017-04-14,2017-04,True,238,3,229
bind9,9.9.10,2017-04-14,2017-04,True,238,3,229
bind9,9.10.6,2017-07-24,2017-07,True,312,3,229
bind9,9.11.2,2017-07-24,2017-07,True,312,3,229
bind9,9.9.11,2017-07-24,2017-07,True,312,3,229
bind9,9.12.0,2018-01-17,2018-01,True,70,3,229
bind9,9.10.7,2018-03-08,2018-03,True,73,3,229
bind9,9.11.3,2018-03-08,2018-03,True,73,3,229
bind9,9.12.1,2018-03-08,2018-03,True,73,3,229
bind9,9.9.12,2018-03-08,2018-03,True,73,3,229
bind9,9.10.8,2018-07-03,2018-07,True,118,3,229
bind9,9.11.4,2018-07-03,2018-07,True,118,3,229
bind9,9.12.2,2018-07-03,2018-07,True,118,3,229
bind9,9.9.13,2018-07-03,2018-07,True,118,3,229
bind9,9.11.5,2018-10-06,2018-10,True,468,3,229
bind9,9.12.3,2018-10-06,2018-10,True,468,3,229
bind9,9.11.6,2019-02-27,2019-02,True,446,3,229
bind9,9.12.4,2019-02-27,2019-02,True,446,3,229
bind9,9.14.0,2019-03-20,2019-03,True,162,3,229
bind9,9.14.1,2019-04-06,2019-04,True,463,3,229
bind9,9.11.7,2019-05-10,2019-05,True,792,3,229
bind9,9.14.2,2019-05-10,2019-05,True,792,3,229
bind9,9.11.8,2019-06-04,2019-06,True,837,3,229
bind9,9.14.3,2019-06-04,2019-06,True,837,3,229
bind9,9.11.9,2019-07-09,2019-07,True,458,3,229
bind9,9.14.4,2019-07-09,2019-07,True,458,3,229
bind9,9.11.10,2019-08-13,2019-08,True,146,3,229
bind9,9.14.5,2019-08-13,2019-08,True,146,3,229
bind9,9.11.11,2019-09-09,2019-09,True,102,3,229
bind9,9.14.6,2019-09-09,2019-09,True,102,3,229
bind9,9.11.12,2019-10-02,2019-10,True,125,3,229
bind9,9.14.7,2019-10-02,2019-10,True,125,3,229
bind9,9.11.13,2019-11-06,2019-11,True,482,3,229
bind9,9.14.8,2019-11-06,2019-11,True,482,3,229
bind9,9.11.14,2019-12-12,2019-12,True,538,3,229
bind9,9.14.9,2019-12-12,2019-12,True,538,3,229
bind9,9.11.15,2020-01-16,2020-01,True,505,3,229
bind9,9.14.10,2020-01-16,2020-01,True,505,3,229
bind9,9.11.16,2020-02-12,2020-02,True,113,3,229
bind9,9.16.0,2020-02-12,2020-02,True,113,3,229
bind9,9.14.11,2020-02-13,2020-02,True,113,3,229
bind9,9.11.17,2020-03-11,2020-03,True,81,3,229
bind9,9.16.1,2020-03-11,2020-03,True,81,3,229
bind9,9.11.18,2020-04-09,2020-04,True,339,3,229
bind9,9.16.2,2020-04-09,2020-04,True,339,3,229
bind9,9.11.19,2020-05-06,2020-05,True,361,3,229
bind9,9.14.12,2020-05-06,2020-05,True,361,3,229
bind9,9.16.3,2020-05-06,2020-05,True,361,3,229
bind9,9.11.20,2020-06-10,2020-06,True,335,3,229
bind9,9.16.4,2020-06-10,2020-06,True,335,3,229
bind9,9.11.21,2020-07-03,2020-07,True,86,3,229
bind9,9.16.5,2020-07-03,2020-07,True,86,3,229
bind9,9.11.22,2020-08-06,2020-08,True,94,3,229
bind9,9.16.6,2020-08-10,2020-08,True,94,3,229
bind9,9.16.7,2020-09-04,2020-09,True,176,3,229
