signal_id,timestamp,domain,zone,rr_type,algorithm,digest_type,key_tag,flags,source,measurement_id,row_index,origin_file
sig_0001,2018-01-04T01:45:00,xn--mklarnett-v2a.se.,,RRSIG,13,,65498,,openintel_parquet,,0,scale_exemplars
sig_0002,2018-01-04T02:37:39,123-nonexistant-dnsjedi-456.vasaloppslager.se.,,NSEC3,1,,,1,openintel_parquet,,1,scale_exemplars
sig_0003,2018-01-15T02:01:45,xn--lundsdyksllskap-8kb.se.,,NSEC3PARAM,1,,,0,openintel_parquet,,2,scale_exemplars
sig_0004,2018-01-16T03:19:40,diamantduk.se.,,DS,8,2,12412,,openintel_parquet,,3,scale_exemplars
sig_0005,2018-01-17T01:27:04,xn--vrbazzar-9za.se.,,DS,8,2,12412,,openintel_parquet,,4,scale_exemplars
sig_0006,2018-01-18T05:59:37,selark.se.,,DS,13,1,49382,,openintel_parquet,,5,scale_exemplars
sig_0007,2018-01-24T04:47:30,xn--bstaspelautomaterna-gwb.nu.,,DS,8,1,12412,,openintel_parquet,,6,scale_exemplars
sig_0008,2018-02-11T02:33:44,xn--strmstad-p4a.nu.,,DS,8,2,12412,,openintel_parquet,,7,scale_exemplars
sig_0009,2018-05-13T05:15:37,saltniklas.nu.,,RRSIG,7,,41195,,openintel_parquet,,8,scale_exemplars
sig_0010,2018-10-13T02:28:15,logistikbalsta.nu.,,DS,8,2,5221,,openintel_parquet,,9,scale_exemplars
sig_0011,2018-10-29T02:54:57,klickmonster.nu.,,NSEC3PARAM,1,,,0,openintel_parquet,,10,scale_exemplars
sig_0012,2019-01-27T03:22:36,bowen.nu.,,CDS,0,0,0,,openintel_parquet,,11,scale_exemplars
sig_0013,2019-04-21T02:25:06,landimaging.gov.,,CDS,13,2,2371,,openintel_parquet,,12,scale_exemplars
sig_0014,2021-01-04T03:29:11,krossnassf.se.,,RRSIG,15,,6297,,openintel_parquet,,13,scale_exemplars
sig_0015,2021-01-10T04:08:05,apps2grow.se.,,RRSIG,15,,42630,,openintel_parquet,,14,scale_exemplars
sig_0016,2021-03-29T06:26:58,brtisverige.nu.,,RRSIG,13,,8634,,openintel_parquet,,15,scale_exemplars
sig_0017,2021-06-30T02:56:27,123-nonexistant-dnsjedi-456.smalsparet.nu.,,RRSIG,13,,60749,,openintel_parquet,,16,scale_exemplars
sig_0018,2021-08-05T07:37:09,zzptoday.nu.,,DS,13,2,37006,,openintel_parquet,,17,scale_exemplars
sig_0019,2021-08-13T07:50:30,xn--smfdder-fxa6o.nu.,,RRSIG,13,,52108,,openintel_parquet,,18,scale_exemplars
sig_0020,2021-10-02T02:59:05,cottagecitymd.gov.,,CDNSKEY,0,,,0,openintel_parquet,,19,scale_exemplars
sig_0021,2021-11-01T02:55:43,newrussiatownship-oh.gov.,,CDNSKEY,0,,,0,openintel_parquet,,20,scale_exemplars
sig_0022,2021-11-19T03:14:11,leer-kracht.nu.,,RRSIG,8,,47250,,openintel_parquet,,21,scale_exemplars
sig_0023,2021-12-25T08:22:57,dlan.nu.,,CDS,0,0,0,,openintel_parquet,,22,scale_exemplars
sig_0024,2023-01-12T03:03:26,holgersen.nu.,,DS,13,4,43153,,openintel_parquet,,23,scale_exemplars
sig_0025,2024-01-27T00:41:53,bospararna.nu.,,DNSKEY,13,,,257,openintel_parquet,,24,scale_exemplars
sig_0026,2024-01-27T02:55:55,fantastiskafonster.nu.,,CDNSKEY,13,,,257,openintel_parquet,,25,scale_exemplars
sig_0027,2024-07-22T07:07:07,bcvwd.gov.,,CDS,13,2,2371,,openintel_parquet,,26,scale_exemplars
sig_0028,2024-11-06T00:59:29,falmouthma.gov.,,CDNSKEY,13,,,257,openintel_parquet,,27,scale_exemplars
sig_0029,2026-04-13T03:02:45,charlesmixcounty.gov.,,CDNSKEY,0,,,0,openintel_parquet,,28,scale_exemplars
