key,label,rfc,published,group,observable,dimension,value,is_residue,measurable_here,t1_first_seen,zones_at_first_seen,t2_partial_usage,t3_common_usage,corpus_starts,left_censored,onset_years,establishment_years,ascent_years,total_to_common_years,current_share_pct,peak_share_pct,peak_month,last_month,months_observed,state,residue_share_pct,residue_records_after_publication
alg_3,DSA/SHA-1,RFC 2536,1999-03,D_new_primitive,algorithm = 3,algorithm_ds,3,False,True,2009-03,4.0,,,2009-03,True,10.0,,,,0.0,2.3256,2009-03,2026-08,141.0,seen_only,,
alg_5,RSASHA1,RFC 3110,2001-05,A_new_codepoint,algorithm = 5,algorithm_ds,5,False,True,2009-03,168.0,2009-03,2009-03,2009-03,True,7.83,0.0,0.0,7.83,1.2745,97.6744,2009-03,2026-08,201.0,common,,
alg_7,RSASHA1-NSEC3,RFC 5155,2008-03,B_signalling,"algorithm = 7 (RSASHA1, signalling NSEC3)",algorithm_ds,7,False,True,2009-07,21.0,2009-07,2009-07,2009-03,False,1.33,0.0,0.0,1.33,6.0248,19.4444,2011-10,2026-08,199.0,common,,
alg_8,RSASHA256,RFC 5702,2009-10,A_new_codepoint,algorithm = 8,algorithm_ds,8,False,True,2010-03,1.0,2011-04,2011-10,2009-03,False,0.42,1.08,0.5,2.0,20.3684,98.4023,2016-06,2026-08,191.0,common,,
alg_10,RSASHA512,RFC 5702,2009-10,A_new_codepoint,algorithm = 10,algorithm_ds,10,False,True,2010-07,1.0,2012-12,,2009-03,False,0.75,2.42,,,0.3012,2.3518,2013-02,2026-08,187.0,partial,,
alg_12,ECC-GOST,RFC 5933,2010-07,D_new_primitive,algorithm = 12,algorithm_ds,12,False,True,2012-12,3.0,,,2009-03,False,2.42,,,,0.0,0.3521,2013-11,2026-08,58.0,seen_only,,
alg_13,ECDSAP256SHA256,RFC 6605,2012-04,D_new_primitive,algorithm = 13,algorithm_ds,13,False,True,2015-11,2.0,2016-10,2019-02,2009-03,False,3.58,0.92,2.33,6.83,71.0694,76.1832,2023-07,2026-08,129.0,common,,
alg_14,ECDSAP384SHA384,RFC 6605,2012-04,D_new_primitive,algorithm = 14,algorithm_ds,14,False,True,2016-03,4.0,2024-01,,2009-03,False,3.92,7.83,,,2.4447,2.7844,2024-12,2026-08,126.0,partial,,
alg_15,Ed25519,RFC 8080,2017-02,D_new_primitive,algorithm = 15,algorithm_ds,15,False,True,2019-01,2.0,2020-04,,2009-03,False,1.92,1.25,,,0.3708,2.026,2020-06,2026-08,92.0,partial,,
alg_16,Ed448,RFC 8080,2017-02,D_new_primitive,algorithm = 16,algorithm_ds,16,False,True,2020-05,1.0,,,2009-03,False,3.25,,,,0.0348,0.0348,2026-08,2026-08,76.0,seen_only,,
alg_17,SM2SM3,RFC 9563,2024-12,D_new_primitive,algorithm = 17,algorithm_ds,17,False,True,,,,,2009-03,False,,,,,0.0,0.0,2009-03,2026-08,0.0,scanned_no_match,,
alg_23,ECC-GOST12,RFC 9558,2024-04,D_new_primitive,algorithm = 23,algorithm_ds,23,False,True,,,,,2009-03,False,,,,,0.0,0.0,2009-03,2026-08,0.0,scanned_no_match,,
digest_1,SHA-1 DS digest,RFC 3658,2003-12,G_new_digest,DS digest type = 1,digest_type_ds,1,False,True,2009-03,165.0,2009-03,2009-03,2009-03,True,5.25,0.0,0.0,5.25,18.2598,97.4093,2010-09,2026-08,201.0,common,,
digest_2,SHA-256 DS digest,RFC 4509,2006-05,G_new_digest,DS digest type = 2,digest_type_ds,2,False,True,2009-03,10.0,2009-03,2009-07,2009-03,True,2.83,0.0,0.33,3.17,98.1926,98.9092,2021-07,2026-08,201.0,common,,
digest_3,GOST DS digest,RFC 5933,2010-07,G_new_digest,DS digest type = 3,digest_type_ds,3,False,True,2011-04,3.0,2013-06,,2009-03,False,0.75,2.17,,,0.1043,5.0,2013-07,2026-08,183.0,partial,,
digest_4,SHA-384 DS digest,RFC 6605,2012-04,G_new_digest,DS digest type = 4,digest_type_ds,4,False,True,2013-07,35.0,2013-07,2021-08,2009-03,False,1.25,0.0,8.08,9.33,8.0292,31.7047,2023-11,2026-08,149.0,common,,
digest_5,GOST-2012 digest,RFC 9558,2024-04,G_new_digest,DS digest type = 5,digest_type_ds,5,False,True,2023-11,1.0,,,2009-03,False,-0.42,,,,0.0,0.0,2023-11,2026-08,1.0,seen_only,,
digest_6,SM3 DS digest,RFC 9563,2024-12,G_new_digest,DS digest type = 6,digest_type_ds,6,False,True,,,,,2009-03,False,,,,,0.0,0.0,2009-03,2026-08,0.0,scanned_no_match,,
nsec3_zero_iterations,NSEC3 zero iterations,RFC 9276,2022-08,E_parameter_hygiene,NSEC3 iterations = 0,nsec3_iterations,0,False,True,2016-06,15.0,2022-02,,2016-06,True,-6.17,5.67,,,9.6106,9.8073,2023-06,2023-12,91.0,partial,,
nsec3_empty_salt,NSEC3 empty salt,RFC 9276,2022-08,E_parameter_hygiene,NSEC3 salt is empty,nsec3_salt_empty,empty,False,True,,,,,2016-06,False,,,,,0.0,0.0,2016-06,2023-12,0.0,scanned_no_match,,
nsec3_optout,NSEC3 opt-out in use,RFC 5155,2008-03,E_parameter_hygiene,NSEC3 flags bit 0 set,nsec3_optout,1,False,True,2016-06,596215.0,2016-06,2016-06,2016-06,True,8.25,0.0,0.0,8.25,14.3396,47.148,2018-12,2023-12,91.0,common,,
dnskey_revoke,DNSKEY REVOKE bit,RFC 5011,2007-09,B_signalling,DNSKEY flags = 385 (REVOKE|SEP|ZONE),dnskey_flags,385,False,True,2016-06,9.0,,,2016-06,True,8.75,,,,0.0008,0.0174,2019-01,2023-12,91.0,seen_only,,
dnskey_sep,DNSKEY SEP/KSK,RFC 4034,2005-03,B_signalling,DNSKEY flags = 257,dnskey_flags,257,False,True,2016-06,782200.0,2016-06,2016-06,2016-06,True,11.25,0.0,0.0,11.25,99.9446,99.9991,2018-07,2023-12,91.0,common,,
dnskey_protocol,DNSKEY protocol = 3,RFC 4034,2005-03,C_new_record_type,DNSKEY protocol octet = 3,dnskey_protocol,3,False,True,2016-06,782211.0,2016-06,2016-06,2016-06,True,11.25,0.0,0.0,11.25,100.0,100.0,2016-06,2023-12,91.0,common,,
cds_delete,CDS delete sentinel,RFC 8078,2017-03,C_new_record_type,CDS with algorithm 0 (delete),algorithm_cds,0,False,True,2018-08,6.0,2018-09,,2017-10,False,1.42,0.08,,,0.4978,8.5726,2020-02,2023-12,65.0,partial,,
tlsa_dane_ee,DANE-EE (TLSA usage 3),RFC 7671,2015-10,E_parameter_hygiene,TLSA usage = 3,tlsa_usage,3,False,False,,,,,,,,,,,,,,,,no_corpus_coverage,,
tlsa_dane_ta,DANE-TA (TLSA usage 2),RFC 7671,2015-10,E_parameter_hygiene,TLSA usage = 2,tlsa_usage,2,False,False,,,,,,,,,,,,,,,,no_corpus_coverage,,
deprecated_sha1_sig,SHA-1 signing still published,RFC 9905,2025-11,F_deprecation,DS signed with algorithm 5 or 7 (as a set) after RFC 9905,sha1_signing_ds,sha1,True,True,2009-03,168.0,2009-03,2009-03,2009-03,True,,0.0,0.0,-16.67,7.2993,98.2188,2010-10,2026-08,201.0,residue,7.2993,15888.0
deprecated_sha1_digest,SHA-1 DS digest still published,RFC 9905,2025-11,F_deprecation,DS digest 1 after RFC 9905,digest_type_ds,1,True,True,2009-03,165.0,2009-03,2009-03,2009-03,True,,0.0,0.0,-16.67,18.2598,97.4093,2010-09,2026-08,201.0,residue,18.2598,19652.0
deprecated_gost,ECC-GOST still published,RFC 9906,2025-11,F_deprecation,algorithm 12 after RFC 9906,algorithm_ds,12,True,True,2012-12,3.0,,,2009-03,False,,,,,0.0,0.3521,2013-11,2026-08,58.0,residue,0.0,0.0
