source,basis,month,dimension,value,records,domain_days,domains_peak,measured_days
afrinic,reverse,2009-03,all,all,10190,10190,10190,1
afrinic,reverse,2009-03,rr_type,NS,10190,10190,10190,1
afrinic,reverse,2009-03,rr_type,_total,10190,10190,10190,1
afrinic,reverse,2009-04,all,all,10257,10257,10257,1
afrinic,reverse,2009-04,rr_type,NS,10257,10257,10257,1
afrinic,reverse,2009-04,rr_type,_total,10257,10257,10257,1
afrinic,reverse,2009-07,all,all,10906,10906,10906,1
afrinic,reverse,2009-07,rr_type,NS,10906,10906,10906,1
afrinic,reverse,2009-07,rr_type,_total,10906,10906,10906,1
afrinic,reverse,2009-08,all,all,10960,10960,10960,1
afrinic,reverse,2009-08,rr_type,NS,10960,10960,10960,1
afrinic,reverse,2009-08,rr_type,_total,10960,10960,10960,1
afrinic,reverse,2009-09,all,all,11076,11076,11076,1
afrinic,reverse,2009-09,rr_type,NS,11076,11076,11076,1
afrinic,reverse,2009-09,rr_type,_total,11076,11076,11076,1
afrinic,reverse,2009-10,all,all,11271,11271,11271,1
afrinic,reverse,2009-10,rr_type,NS,11271,11271,11271,1
afrinic,reverse,2009-10,rr_type,_total,11271,11271,11271,1
afrinic,reverse,2009-11,all,all,11348,11348,11348,1
afrinic,reverse,2009-11,rr_type,NS,11348,11348,11348,1
afrinic,reverse,2009-11,rr_type,_total,11348,11348,11348,1
afrinic,reverse,2009-12,all,all,11389,11389,11389,1
afrinic,reverse,2009-12,rr_type,NS,11389,11389,11389,1
afrinic,reverse,2009-12,rr_type,_total,11389,11389,11389,1
afrinic,reverse,2010-01,all,all,12694,12694,12694,1
afrinic,reverse,2010-01,rr_type,NS,12694,12694,12694,1
afrinic,reverse,2010-01,rr_type,_total,12694,12694,12694,1
afrinic,reverse,2010-02,all,all,12694,12694,12694,1
afrinic,reverse,2010-02,rr_type,NS,12694,12694,12694,1
afrinic,reverse,2010-02,rr_type,_total,12694,12694,12694,1
afrinic,reverse,2010-03,all,all,12845,12845,12845,1
afrinic,reverse,2010-03,rr_type,NS,12845,12845,12845,1
afrinic,reverse,2010-03,rr_type,_total,12845,12845,12845,1
afrinic,reverse,2010-04,all,all,13269,13269,13269,1
afrinic,reverse,2010-04,rr_type,NS,13269,13269,13269,1
afrinic,reverse,2010-04,rr_type,_total,13269,13269,13269,1
afrinic,reverse,2010-05,all,all,13512,13512,13512,1
afrinic,reverse,2010-05,rr_type,NS,13512,13512,13512,1
afrinic,reverse,2010-05,rr_type,_total,13512,13512,13512,1
afrinic,reverse,2010-06,all,all,13616,13616,13616,1
afrinic,reverse,2010-06,rr_type,NS,13616,13616,13616,1
afrinic,reverse,2010-06,rr_type,_total,13616,13616,13616,1
afrinic,reverse,2010-07,all,all,13818,13818,13818,1
afrinic,reverse,2010-07,rr_type,NS,13818,13818,13818,1
afrinic,reverse,2010-07,rr_type,_total,13818,13818,13818,1
afrinic,reverse,2010-08,all,all,14167,14167,14167,1
afrinic,reverse,2010-08,rr_type,NS,14167,14167,14167,1
afrinic,reverse,2010-08,rr_type,_total,14167,14167,14167,1
afrinic,reverse,2010-09,all,all,14210,14210,14210,1
afrinic,reverse,2010-09,rr_type,NS,14210,14210,14210,1
afrinic,reverse,2010-09,rr_type,_total,14210,14210,14210,1
afrinic,reverse,2010-10,all,all,14374,14374,14374,1
afrinic,reverse,2010-10,rr_type,NS,14374,14374,14374,1
afrinic,reverse,2010-10,rr_type,_total,14374,14374,14374,1
afrinic,reverse,2011-04,all,all,15422,15422,15422,1
afrinic,reverse,2011-04,rr_type,NS,15422,15422,15422,1
afrinic,reverse,2011-04,rr_type,_total,15422,15422,15422,1
afrinic,reverse,2011-05,all,all,15699,15699,15699,1
afrinic,reverse,2011-05,rr_type,NS,15699,15699,15699,1
afrinic,reverse,2011-05,rr_type,_total,15699,15699,15699,1
afrinic,reverse,2011-06,all,all,17902,17902,17902,1
afrinic,reverse,2011-06,rr_type,NS,17902,17902,17902,1
afrinic,reverse,2011-06,rr_type,_total,17902,17902,17902,1
afrinic,reverse,2011-07,all,all,18039,18039,18039,1
afrinic,reverse,2011-07,rr_type,NS,18039,18039,18039,1
afrinic,reverse,2011-07,rr_type,_total,18039,18039,18039,1
afrinic,reverse,2011-08,all,all,18255,18255,18255,1
afrinic,reverse,2011-08,rr_type,NS,18255,18255,18255,1
afrinic,reverse,2011-08,rr_type,_total,18255,18255,18255,1
afrinic,reverse,2011-09,all,all,18588,18588,18588,1
afrinic,reverse,2011-09,rr_type,NS,18588,18588,18588,1
afrinic,reverse,2011-09,rr_type,_total,18588,18588,18588,1
afrinic,reverse,2011-10,all,all,18911,18911,18911,1
afrinic,reverse,2011-10,rr_type,NS,18911,18911,18911,1
afrinic,reverse,2011-10,rr_type,_total,18911,18911,18911,1
afrinic,reverse,2011-11,all,all,19053,19053,19053,1
afrinic,reverse,2011-11,rr_type,NS,19053,19053,19053,1
afrinic,reverse,2011-11,rr_type,_total,19053,19053,19053,1
afrinic,reverse,2011-12,all,all,19213,19213,19213,1
afrinic,reverse,2011-12,rr_type,NS,19213,19213,19213,1
afrinic,reverse,2011-12,rr_type,_total,19213,19213,19213,1
afrinic,reverse,2012-01,all,all,19251,19251,19251,1
afrinic,reverse,2012-01,rr_type,NS,19251,19251,19251,1
afrinic,reverse,2012-01,rr_type,_total,19251,19251,19251,1
afrinic,reverse,2012-02,all,all,19365,19365,19365,1
