rfc_id,rfc_title,rfc_publication_date,indicator_id,indicator_description,required,weight,queryability,condition_count,fields_used,present_fields,missing_fields,available_from,reasoning,warnings
RFC 3110,RSA/SHA-1 SIGs and RSA KEYs in the Domain Name System (DNS),2001-05-01T00:00:00,rfc3110_rsasha1_algorithm,DNSSEC algorithm 5 (RSASHA1).,true,9.0,queryable,1,algorithm,algorithm,,algorithm=2010-01-01T00:00:00,Indicator rfc3110_rsasha1_algorithm is queryable because all fields it references exist in the OpenINTEL dictionary: algorithm (integer).,"Field `algorithm` is only available from 2010-01-01, which is after RFC 3110's publication date 2001-05-01; adoption before 2010-01-01 cannot be observed through this field."
RFC 3110,RSA/SHA-1 SIGs and RSA KEYs in the Domain Name System (DNS),2001-05-01T00:00:00,rfc3110_rsasha1_on_key_or_signature,"Algorithm 5 on a key or signature record, not only in a DS.",false,3.0,queryable,2,rr_type; algorithm,rr_type; algorithm,,rr_type=2010-01-01T00:00:00; algorithm=2010-01-01T00:00:00,"Indicator rfc3110_rsasha1_on_key_or_signature is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), algorithm (integer).","Field `rr_type` is only available from 2010-01-01, which is after RFC 3110's publication date 2001-05-01; adoption before 2010-01-01 cannot be observed through this field.; Field `algorithm` is only available from 2010-01-01, which is after RFC 3110's publication date 2001-05-01; adoption before 2010-01-01 cannot be observed through this field."
RFC 4033,DNS Security Introduction and Requirements (DNSSEC base: RFC 4033/4034/4035),2005-03-01T00:00:00,rfc4033_base_dnssec_record_present,A core DNSSEC resource record type defined by RFC 4034 is present in the response.,true,4.0,queryable,1,rr_type,rr_type,,rr_type=2010-01-01T00:00:00,Indicator rfc4033_base_dnssec_record_present is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string).,"Field `rr_type` is only available from 2010-01-01, which is after RFC 4033's publication date 2005-03-01; adoption before 2010-01-01 cannot be observed through this field."
RFC 4033,DNS Security Introduction and Requirements (DNSSEC base: RFC 4033/4034/4035),2005-03-01T00:00:00,rfc4033_dnssec_algorithm_present,"The record carries a DNSSEC algorithm number, confirming a signed delegation or key.",false,2.0,queryable,1,algorithm,algorithm,,algorithm=2010-01-01T00:00:00,Indicator rfc4033_dnssec_algorithm_present is queryable because all fields it references exist in the OpenINTEL dictionary: algorithm (integer).,"Field `algorithm` is only available from 2010-01-01, which is after RFC 4033's publication date 2005-03-01; adoption before 2010-01-01 cannot be observed through this field."
RFC 4033,DNS Security Introduction and Requirements (DNSSEC base: RFC 4033/4034/4035),2005-03-01T00:00:00,rfc4033_dnssec_ok_negotiated,The resolver negotiated DNSSEC by setting the DO bit in the query (RFC 4035 section 3.2.1).,false,3.0,partially_queryable,2,rr_type; dnssec_ok_flag,rr_type,dnssec_ok_flag,rr_type=2010-01-01T00:00:00,"Indicator rfc4033_dnssec_ok_negotiated is partially queryable: rr_type (string) exists in the OpenINTEL dictionary but dnssec_ok_flag does not, so every condition on dnssec_ok_flag fails with field_present=False. The surviving field rr_type is also relied on by other RFC 4033 indicators, so the part that can be evaluated still carries evidence for RFC 4033.","Field `rr_type` is only available from 2010-01-01, which is after RFC 4033's publication date 2005-03-01; adoption before 2010-01-01 cannot be observed through this field."
RFC 4034,Resource Records for the DNS Security Extensions,2005-03-01T00:00:00,rfc4034_core_record_present,One of the four record types RFC 4034 defines is present.,true,3.0,queryable,1,rr_type,rr_type,,rr_type=2010-01-01T00:00:00,Indicator rfc4034_core_record_present is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string).,"Field `rr_type` is only available from 2010-01-01, which is after RFC 4034's publication date 2005-03-01; adoption before 2010-01-01 cannot be observed through this field."
RFC 4034,Resource Records for the DNS Security Extensions,2005-03-01T00:00:00,rfc4034_dnskey_protocol_is_three,"DNSKEY/CDNSKEY carries protocol octet 3, the only value RFC 4034 section 2.1.2 allows.",false,7.0,queryable,2,rr_type; dnskey_protocol,rr_type; dnskey_protocol,,rr_type=2010-01-01T00:00:00; dnskey_protocol=2010-01-01T00:00:00,"Indicator rfc4034_dnskey_protocol_is_three is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), dnskey_protocol (integer).","Field `rr_type` is only available from 2010-01-01, which is after RFC 4034's publication date 2005-03-01; adoption before 2010-01-01 cannot be observed through this field.; Field `dnskey_protocol` is only available from 2010-01-01, which is after RFC 4034's publication date 2005-03-01; adoption before 2010-01-01 cannot be observed through this field."
RFC 4034,Resource Records for the DNS Security Extensions,2005-03-01T00:00:00,rfc4034_rrsig_type_covered_present,"An RRSIG carries a type-covered field, the RFC 4034 section 3.1.1 signature format.",false,7.0,queryable,2,rr_type; rrsig_type_covered,rr_type; rrsig_type_covered,,rr_type=2010-01-01T00:00:00; rrsig_type_covered=2010-01-01T00:00:00,"Indicator rfc4034_rrsig_type_covered_present is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), rrsig_type_covered (string).","Field `rr_type` is only available from 2010-01-01, which is after RFC 4034's publication date 2005-03-01; adoption before 2010-01-01 cannot be observed through this field.; Field `rrsig_type_covered` is only available from 2010-01-01, which is after RFC 4034's publication date 2005-03-01; adoption before 2010-01-01 cannot be observed through this field."
RFC 4035,Protocol Modifications for the DNS Security Extensions,2005-03-01T00:00:00,rfc4035_dnssec_ok_negotiated,The exchange negotiated DNSSEC via the DO bit.,true,6.0,non_queryable,1,dnssec_ok_flag,,dnssec_ok_flag,,Indicator rfc4035_dnssec_ok_negotiated is non-queryable because none of the fields it references exist in the OpenINTEL dictionary: dnssec_ok_flag. No part of it can ever be evaluated against the measurement corpus.,
RFC 4509,Use of SHA-256 in DNSSEC Delegation Signer (DS) Resource Records,2006-05-01T00:00:00,rfc4509_ds_sha256_digest,DS or CDS record using digest type 2 (SHA-256).,true,9.0,queryable,2,rr_type; digest_type,rr_type; digest_type,,rr_type=2010-01-01T00:00:00; digest_type=2010-01-01T00:00:00,"Indicator rfc4509_ds_sha256_digest is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), digest_type (integer).","Field `rr_type` is only available from 2010-01-01, which is after RFC 4509's publication date 2006-05-01; adoption before 2010-01-01 cannot be observed through this field.; Field `digest_type` is only available from 2010-01-01, which is after RFC 4509's publication date 2006-05-01; adoption before 2010-01-01 cannot be observed through this field."
