signal_id,timestamp,domain,zone,rr_type,algorithm,digest_type,key_tag,flags,source,measurement_id,dnskey_protocol,nsec3_flags,nsec3_iterations,nsec3_salt,rrsig_type_covered,rsa_key_bitsize,tlsa_matchtype,tlsa_selector,tlsa_usage,row_index,origin_file
sig_0001,2009-09-01T00:00:00,100.50.194.in-addr.arpa,ripe,DS,5,1,27973,,ripe,,,,,,,,,,,0,scale_exemplars
sig_0002,2011-11-01T00:00:00,113.94.81.in-addr.arpa,ripe,DS,7,1,10778,,ripe,,,,,,,,,,,1,scale_exemplars
sig_0003,2013-02-01T00:00:00,0.119.203.in-addr.arpa,apnic,DS,5,1,55336,,apnic,,,,,,,,,,,2,scale_exemplars
sig_0004,2013-02-01T00:00:00,180.130.188.in-addr.arpa,ripe,DS,12,1,10923,,ripe,,,,,,,,,,,3,scale_exemplars
sig_0005,2015-04-01T00:00:00,221.35.185.in-addr.arpa,ripe,DS,12,1,40441,,ripe,,,,,,,,,,,4,scale_exemplars
sig_0006,2015-06-01T00:00:00,221.35.185.in-addr.arpa,ripe,DS,12,3,18611,,ripe,,,,,,,,,,,5,scale_exemplars
sig_0007,2017-03-01T00:00:00,144.126.202.in-addr.arpa,apnic,DS,8,1,61402,,apnic,,,,,,,,,,,6,scale_exemplars
sig_0008,2018-07-01T00:00:00,98.201.122.in-addr.arpa,apnic,DS,13,2,27142,,apnic,,,,,,,,,,,7,scale_exemplars
sig_0009,2018-11-01T00:00:00,11.6.199.in-addr.arpa,arin,DS,5,2,56053,,arin,,,,,,,,,,,8,scale_exemplars
sig_0010,2019-09-01T00:00:00,118.219.in-addr.arpa,apnic,DS,8,1,16394,,apnic,,,,,,,,,,,9,scale_exemplars
sig_0011,2019-12-01T00:00:00,97.201.122.in-addr.arpa,apnic,DS,13,3,45659,,apnic,,,,,,,,,,,10,scale_exemplars
sig_0012,2020-04-01T00:00:00,70.119.199.in-addr.arpa,arin,DS,13,2,6725,,arin,,,,,,,,,,,11,scale_exemplars
sig_0013,2020-05-01T00:00:00,35.116.in-addr.arpa,apnic,DS,8,1,39229,,apnic,,,,,,,,,,,12,scale_exemplars
sig_0014,2020-11-01T00:00:00,72.252.23.in-addr.arpa,ripe,DS,13,4,12382,,ripe,,,,,,,,,,,13,scale_exemplars
sig_0015,2021-02-01T00:00:00,94.111.27.in-addr.arpa,apnic,DS,13,4,14699,,apnic,,,,,,,,,,,14,scale_exemplars
sig_0016,2022-05-01T00:00:00,94.201.122.in-addr.arpa,apnic,DS,13,3,40957,,apnic,,,,,,,,,,,15,scale_exemplars
sig_0017,2022-06-01T00:00:00,165.89.45.in-addr.arpa,ripe,DS,14,1,54424,,ripe,,,,,,,,,,,16,scale_exemplars
sig_0018,2022-11-01T00:00:00,77.201.122.in-addr.arpa,apnic,DS,13,3,64323,,apnic,,,,,,,,,,,17,scale_exemplars
sig_0019,2023-05-01T00:00:00,248.97.98.in-addr.arpa,arin,DS,15,2,14168,,arin,,,,,,,,,,,18,scale_exemplars
sig_0020,2023-06-01T00:00:00,122.201.122.in-addr.arpa,apnic,DS,13,3,182,,apnic,,,,,,,,,,,19,scale_exemplars
sig_0021,2023-10-01T00:00:00,63.82.172.in-addr.arpa,arin,DS,13,2,2371,,arin,,,,,,,,,,,20,scale_exemplars
sig_0022,2024-03-01T00:00:00,164.68.103.in-addr.arpa,apnic,DS,13,3,24431,,apnic,,,,,,,,,,,21,scale_exemplars
sig_0023,2024-04-01T00:00:00,69.126.149.in-addr.arpa,ripe,DS,8,2,43835,,ripe,,,,,,,,,,,22,scale_exemplars
sig_0024,2025-07-01T00:00:00,0.8.6.c.6.0.6.2.ip6.arpa,arin,DS,13,4,23621,,arin,,,,,,,,,,,23,scale_exemplars
sig_0025,2025-11-01T00:00:00,204.195.199.in-addr.arpa,arin,DS,5,1,12607,,arin,,,,,,,,,,,24,scale_exemplars
sig_0026,2025-11-01T00:00:00,237.243.173.in-addr.arpa,arin,DS,16,4,40057,,arin,,,,,,,,,,,25,scale_exemplars
sig_0027,2025-11-01T00:00:00,250.34.174.in-addr.arpa,arin,DS,15,2,24323,,arin,,,,,,,,,,,26,scale_exemplars
sig_0028,2025-11-01T00:00:00,88.148.in-addr.arpa,arin,DS,15,2,59488,,arin,,,,,,,,,,,27,scale_exemplars
sig_0029,2026-02-01T00:00:00,241.223.102.in-addr.arpa,afrinic,DS,8,3,41569,,afrinic,,,,,,,,,,,28,scale_exemplars
sig_0030,2026-03-01T00:00:00,141.70.192.in-addr.arpa,ripe,DS,5,3,61306,,ripe,,,,,,,,,,,29,scale_exemplars
sig_0031,2026-04-01T00:00:00,235.217.102.in-addr.arpa,afrinic,DS,8,3,53522,,afrinic,,,,,,,,,,,30,scale_exemplars
sig_0032,2026-04-01T00:00:00,88.148.in-addr.arpa,arin,DS,15,2,59488,,arin,,,,,,,,,,,31,scale_exemplars
sig_0033,2026-05-01T00:00:00,241.223.102.in-addr.arpa,afrinic,DS,8,3,41569,,afrinic,,,,,,,,,,,32,scale_exemplars
sig_0034,2026-06-01T00:00:00,218.171.104.in-addr.arpa,arin,DS,5,2,12733,,arin,,,,,,,,,,,33,scale_exemplars
sig_0035,2026-06-01T00:00:00,232.159.169.in-addr.arpa,afrinic,DS,7,2,19374,,afrinic,,,,,,,,,,,34,scale_exemplars
sig_0036,2026-06-01T00:00:00,234.217.102.in-addr.arpa,afrinic,DS,8,3,1855,,afrinic,,,,,,,,,,,35,scale_exemplars
sig_0037,2026-08-01T00:00:00,244.159.134.in-addr.arpa,arin,DS,8,1,3007,,arin,,,,,,,,,,,36,scale_exemplars
sig_0038,2026-08-01T00:00:00,4.191.64.in-addr.arpa,arin,DS,7,2,30114,,arin,,,,,,,,,,,37,scale_exemplars
