item_id,item_type,severity,status,reason,affected_rfc_ids,affected_fields,affected_signal_ids,trace_ids,suggested_action,verification_status,verification_explanation,evidence
rev_0001,non_queryable_indicator,high,unresolved,"Indicator rfc4035_dnssec_ok_negotiated (required, weight 6.0) of RFC 4035 cannot be evaluated at all: field(s) `dnssec_ok_flag` are absent from the OpenINTEL analysis dictionary, so no observation can ever match it. Indicator rfc4035_dnssec_ok_negotiated is non-queryable because none of the fields it references exist in the OpenINTEL dictionary: dnssec_ok_flag. No part of it can ever be evaluated against the measurement corpus.",RFC 4035,dnssec_ok_flag,,,"Add `dnssec_ok_flag` to the OpenINTEL analysis dictionary with an openintel_native_fields mapping to the real Parquet column(s) that carry it, or rewrite indicator rfc4035_dnssec_ok_negotiated to rely only on fields the corpus exports (algorithm, digest_type, dnskey_protocol, domain, flags, key_tag, measurement_id, nsec3_flags, nsec3_iterations, nsec3_salt, rr_type, rrsig_type_covered, ...). Until then RFC 4035 cannot be measured from this corpus on this indicator and must not be reported as unadopted - the evidence was never collectable.",,,"{""condition_checks"": [{""available_from"": """", ""expected"": true, ""explanation"": ""Condition `dnssec_ok_flag equals true` of RFC 4035 cannot be evaluated because the OpenINTEL dictionary defines no field named dnssec_ok_flag; at match time the condition is recorded with field_present=False, fails, and dnssec_ok_flag is reported in the match's missing_fields. The closest name the dictionary does define is nsec3_flags, which may be what was intended."", ""field"": ""dnssec_ok_flag"", ""field_exists"": false, ""field_type"": null, ""op"": ""equals"", ""type_compatible"": true}], ""dictionary_fields_available"": [""algorithm"", ""digest_type"", ""dnskey_protocol"", ""domain"", ""flags"", ""key_tag"", ""measurement_id"", ""nsec3_flags"", ""nsec3_iterations"", ""nsec3_salt"", ""rr_type"", ""rrsig_type_covered"", ""rsa_key_bitsize"", ""source"", ""timestamp"", ""tlsa_matchtype"", ""tlsa_selector"", ""tlsa_usage"", ""zone""], ""indicator_description"": ""The exchange negotiated DNSSEC via the DO bit."", ""indicator_id"": ""rfc4035_dnssec_ok_negotiated"", ""missing_fields"": [""dnssec_ok_flag""], ""present_fields"": [], ""queryability"": ""non_queryable"", ""required"": true, ""rfc_id"": ""RFC 4035"", ""rfc_publication_date"": ""2005-03-01T00:00:00"", ""rfc_title"": ""Protocol Modifications for the DNS Security Extensions"", ""schema_reasoning"": ""Indicator rfc4035_dnssec_ok_negotiated is non-queryable because none of the fields it references exist in the OpenINTEL dictionary: dnssec_ok_flag. No part of it can ever be evaluated against the measurement corpus."", ""schema_warnings"": [], ""weight"": 6.0}"
rev_0002,non_queryable_indicator,high,unresolved,"Indicator rfc6840_mandatory_algorithm_rules (required, weight 7.0) of RFC 6840 cannot be evaluated at all: field(s) `name_algorithm_set_consistency` are absent from the OpenINTEL analysis dictionary, so no observation can ever match it. Indicator rfc6840_mandatory_algorithm_rules is non-queryable because none of the fields it references exist in the OpenINTEL dictionary: name_algorithm_set_consistency. No part of it can ever be evaluated against the measurement corpus.",RFC 6840,name_algorithm_set_consistency,,,"Add `name_algorithm_set_consistency` to the OpenINTEL analysis dictionary with an openintel_native_fields mapping to the real Parquet column(s) that carry it, or rewrite indicator rfc6840_mandatory_algorithm_rules to rely only on fields the corpus exports (algorithm, digest_type, dnskey_protocol, domain, flags, key_tag, measurement_id, nsec3_flags, nsec3_iterations, nsec3_salt, rr_type, rrsig_type_covered, ...). Until then RFC 6840 cannot be measured from this corpus on this indicator and must not be reported as unadopted - the evidence was never collectable.",,,"{""condition_checks"": [{""available_from"": """", ""expected"": null, ""explanation"": ""Condition `name_algorithm_set_consistency exists` of RFC 6840 cannot be evaluated because the OpenINTEL dictionary defines no field named name_algorithm_set_consistency; at match time the condition is recorded with field_present=False, fails, and name_algorithm_set_consistency is reported in the match's missing_fields. No similarly named field exists in the dictionary either."", ""field"": ""name_algorithm_set_consistency"", ""field_exists"": false, ""field_type"": null, ""op"": ""exists"", ""type_compatible"": true}], ""dictionary_fields_available"": [""algorithm"", ""digest_type"", ""dnskey_protocol"", ""domain"", ""flags"", ""key_tag"", ""measurement_id"", ""nsec3_flags"", ""nsec3_iterations"", ""nsec3_salt"", ""rr_type"", ""rrsig_type_covered"", ""rsa_key_bitsize"", ""source"", ""timestamp"", ""tlsa_matchtype"", ""tlsa_selector"", ""tlsa_usage"", ""zone""], ""indicator_description"": ""Section 5.11: every algorithm in the DS RRset has a DNSKEY, and the zone is signed with every algorithm in the DNSKEY RRset."", ""indicator_id"": ""rfc6840_mandatory_algorithm_rules"", ""missing_fields"": [""name_algorithm_set_consistency""], ""present_fields"": [], ""queryability"": ""non_queryable"", ""required"": true, ""rfc_id"": ""RFC 6840"", ""rfc_publication_date"": ""2013-02-01T00:00:00"", ""rfc_title"": ""Clarifications and Implementation Notes for DNS Security (DNSSEC)"", ""schema_reasoning"": ""Indicator rfc6840_mandatory_algorithm_rules is non-queryable because none of the fields it references exist in the OpenINTEL dictionary: name_algorithm_set_consistency. No part of it can ever be evaluated against the measurement corpus."", ""schema_warnings"": [], ""weight"": 7.0}"
rev_0003,non_queryable_indicator,high,unresolved,"Indicator rfc7583_rollover_timing_observed (required, weight 6.0) of RFC 7583 cannot be evaluated at all: field(s) `key_rollover_phase` are absent from the OpenINTEL analysis dictionary, so no observation can ever match it. Indicator rfc7583_rollover_timing_observed is non-queryable because none of the fields it references exist in the OpenINTEL dictionary: key_rollover_phase. No part of it can ever be evaluated against the measurement corpus.",RFC 7583,key_rollover_phase,,,"Add `key_rollover_phase` to the OpenINTEL analysis dictionary with an openintel_native_fields mapping to the real Parquet column(s) that carry it, or rewrite indicator rfc7583_rollover_timing_observed to rely only on fields the corpus exports (algorithm, digest_type, dnskey_protocol, domain, flags, key_tag, measurement_id, nsec3_flags, nsec3_iterations, nsec3_salt, rr_type, rrsig_type_covered, ...). Until then RFC 7583 cannot be measured from this corpus on this indicator and must not be reported as unadopted - the evidence was never collectable.",,,"{""condition_checks"": [{""available_from"": """", ""expected"": null, ""explanation"": ""Condition `key_rollover_phase exists` of RFC 7583 cannot be evaluated because the OpenINTEL dictionary defines no field named key_rollover_phase; at match time the condition is recorded with field_present=False, fails, and key_rollover_phase is reported in the match's missing_fields. No similarly named field exists in the dictionary either."", ""field"": ""key_rollover_phase"", ""field_exists"": false, ""field_type"": null, ""op"": ""exists"", ""type_compatible"": true}], ""dictionary_fields_available"": [""algorithm"", ""digest_type"", ""dnskey_protocol"", ""domain"", ""flags"", ""key_tag"", ""measurement_id"", ""nsec3_flags"", ""nsec3_iterations"", ""nsec3_salt"", ""rr_type"", ""rrsig_type_covered"", ""rsa_key_bitsize"", ""source"", ""timestamp"", ""tlsa_matchtype"", ""tlsa_selector"", ""tlsa_usage"", ""zone""], ""indicator_description"": ""A key rollover was observed to follow RFC 7583 timing."", ""indicator_id"": ""rfc7583_rollover_timing_observed"", ""missing_fields"": [""key_rollover_phase""], ""present_fields"": [], ""queryability"": ""non_queryable"", ""required"": true, ""rfc_id"": ""RFC 7583"", ""rfc_publication_date"": ""2015-10-01T00:00:00"", ""rfc_title"": ""DNSSEC Key Rollover Timing Considerations"", ""schema_reasoning"": ""Indicator rfc7583_rollover_timing_observed is non-queryable because none of the fields it references exist in the OpenINTEL dictionary: key_rollover_phase. No part of it can ever be evaluated against the measurement corpus."", ""schema_warnings"": [], ""weight"": 6.0}"
rev_0004,non_queryable_indicator,high,unresolved,"Indicator rfc8198_aggressive_nsec_use (required, weight 6.0) of RFC 8198 cannot be evaluated at all: field(s) `resolver_synthesised_nxdomain` are absent from the OpenINTEL analysis dictionary, so no observation can ever match it. Indicator rfc8198_aggressive_nsec_use is non-queryable because none of the fields it references exist in the OpenINTEL dictionary: resolver_synthesised_nxdomain. No part of it can ever be evaluated against the measurement corpus.",RFC 8198,resolver_synthesised_nxdomain,,,"Add `resolver_synthesised_nxdomain` to the OpenINTEL analysis dictionary with an openintel_native_fields mapping to the real Parquet column(s) that carry it, or rewrite indicator rfc8198_aggressive_nsec_use to rely only on fields the corpus exports (algorithm, digest_type, dnskey_protocol, domain, flags, key_tag, measurement_id, nsec3_flags, nsec3_iterations, nsec3_salt, rr_type, rrsig_type_covered, ...). Until then RFC 8198 cannot be measured from this corpus on this indicator and must not be reported as unadopted - the evidence was never collectable.",,,"{""condition_checks"": [{""available_from"": """", ""expected"": true, ""explanation"": ""Condition `resolver_synthesised_nxdomain equals true` of RFC 8198 cannot be evaluated because the OpenINTEL dictionary defines no field named resolver_synthesised_nxdomain; at match time the condition is recorded with field_present=False, fails, and resolver_synthesised_nxdomain is reported in the match's missing_fields. No similarly named field exists in the dictionary either."", ""field"": ""resolver_synthesised_nxdomain"", ""field_exists"": false, ""field_type"": null, ""op"": ""equals"", ""type_compatible"": true}], ""dictionary_fields_available"": [""algorithm"", ""digest_type"", ""dnskey_protocol"", ""domain"", ""flags"", ""key_tag"", ""measurement_id"", ""nsec3_flags"", ""nsec3_iterations"", ""nsec3_salt"", ""rr_type"", ""rrsig_type_covered"", ""rsa_key_bitsize"", ""source"", ""timestamp"", ""tlsa_matchtype"", ""tlsa_selector"", ""tlsa_usage"", ""zone""], ""indicator_description"": ""A resolver synthesised a negative answer from a cached NSEC/NSEC3."", ""indicator_id"": ""rfc8198_aggressive_nsec_use"", ""missing_fields"": [""resolver_synthesised_nxdomain""], ""present_fields"": [], ""queryability"": ""non_queryable"", ""required"": true, ""rfc_id"": ""RFC 8198"", ""rfc_publication_date"": ""2017-07-01T00:00:00"", ""rfc_title"": ""Aggressive Use of DNSSEC-Validated Cache"", ""schema_reasoning"": ""Indicator rfc8198_aggressive_nsec_use is non-queryable because none of the fields it references exist in the OpenINTEL dictionary: resolver_synthesised_nxdomain. No part of it can ever be evaluated against the measurement corpus."", ""schema_warnings"": [], ""weight"": 6.0}"
rev_0005,non_queryable_indicator,high,unresolved,"Indicator rfc8624_validator_algorithm_support (optional, weight 6.0) of RFC 8624 cannot be evaluated at all: field(s) `validator_algorithm_support` are absent from the OpenINTEL analysis dictionary, so no observation can ever match it. Indicator rfc8624_validator_algorithm_support is non-queryable: the field carrying its discriminating value, validator_algorithm_support, is absent from the OpenINTEL dictionary, and the only field that remains, rr_type (string), merely scopes which records are considered and is not used by any other RFC 8624 indicator, so nothing testable is left to attribute an observation to RFC 8624.",RFC 8624,validator_algorithm_support,,,"Add `validator_algorithm_support` to the OpenINTEL analysis dictionary with an openintel_native_fields mapping to the real Parquet column(s) that carry it, or rewrite indicator rfc8624_validator_algorithm_support to rely only on fields the corpus exports (algorithm, digest_type, dnskey_protocol, domain, flags, key_tag, measurement_id, nsec3_flags, nsec3_iterations, nsec3_salt, rr_type, rrsig_type_covered, ...). Until then RFC 8624 scores are systematically 6.0 lower than the checklist intends.",,,"{""condition_checks"": [{""available_from"": """", ""expected"": ""ECDSAP256SHA256"", ""explanation"": ""Condition `validator_algorithm_support contains ECDSAP256SHA256` of RFC 8624 cannot be evaluated because the OpenINTEL dictionary defines no field named validator_algorithm_support; at match time the condition is recorded with field_present=False, fails, and validator_algorithm_support is reported in the match's missing_fields. No similarly named field exists in the dictionary either."", ""field"": ""validator_algorithm_support"", ""field_exists"": false, ""field_type"": null, ""op"": ""contains"", ""type_compatible"": true}, {""available_from"": ""2010-01-01T00:00:00"", ""expected"": [""DNSKEY"", ""RRSIG""], ""explanation"": ""Condition `rr_type in [DNSKEY, RRSIG]` of RFC 8624 can be evaluated because the OpenINTEL dictionary defines the field rr_type with type string."", ""field"": ""rr_type"", ""field_exists"": true, ""field_type"": ""string"", ""op"": ""in"", ""type_compatible"": true}], ""dictionary_fields_available"": [""algorithm"", ""digest_type"", ""dnskey_protocol"", ""domain"", ""flags"", ""key_tag"", ""measurement_id"", ""nsec3_flags"", ""nsec3_iterations"", ""nsec3_salt"", ""rr_type"", ""rrsig_type_covered"", ""rsa_key_bitsize"", ""source"", ""timestamp"", ""tlsa_matchtype"", ""tlsa_selector"", ""tlsa_usage"", ""zone""], ""indicator_description"": ""Validating resolver implements the RFC 8624 mandatory-to-implement validation algorithm set."", ""indicator_id"": ""rfc8624_validator_algorithm_support"", ""missing_fields"": [""validator_algorithm_support""], ""present_fields"": [""rr_type""], ""queryability"": ""non_queryable"", ""required"": false, ""rfc_id"": ""RFC 8624"", ""rfc_publication_date"": ""2019-06-01T00:00:00"", ""rfc_title"": ""Algorithm Implementation Requirements and Usage Guidance for DNSSEC"", ""schema_reasoning"": ""Indicator rfc8624_validator_algorithm_support is non-queryable: the field carrying its discriminating value, validator_algorithm_support, is absent from the OpenINTEL dictionary, and the only field that remains, rr_type (string), merely scopes which records are considered and is not used by any other RFC 8624 indicator, so nothing testable is left to attribute an observation to RFC 8624."", ""schema_warnings"": [], ""weight"": 6.0}"
rev_0006,non_queryable_indicator,high,unresolved,"Indicator rfc9364_bcp_profile_declared (required, weight 5.0) of RFC 9364 cannot be evaluated at all: field(s) `declared_standards_profile` are absent from the OpenINTEL analysis dictionary, so no observation can ever match it. Indicator rfc9364_bcp_profile_declared is non-queryable because none of the fields it references exist in the OpenINTEL dictionary: declared_standards_profile. No part of it can ever be evaluated against the measurement corpus.",RFC 9364,declared_standards_profile,,,"Add `declared_standards_profile` to the OpenINTEL analysis dictionary with an openintel_native_fields mapping to the real Parquet column(s) that carry it, or rewrite indicator rfc9364_bcp_profile_declared to rely only on fields the corpus exports (algorithm, digest_type, dnskey_protocol, domain, flags, key_tag, measurement_id, nsec3_flags, nsec3_iterations, nsec3_salt, rr_type, rrsig_type_covered, ...). Until then RFC 9364 cannot be measured from this corpus on this indicator and must not be reported as unadopted - the evidence was never collectable.",,,"{""condition_checks"": [{""available_from"": """", ""expected"": null, ""explanation"": ""Condition `declared_standards_profile exists` of RFC 9364 cannot be evaluated because the OpenINTEL dictionary defines no field named declared_standards_profile; at match time the condition is recorded with field_present=False, fails, and declared_standards_profile is reported in the match's missing_fields. No similarly named field exists in the dictionary either."", ""field"": ""declared_standards_profile"", ""field_exists"": false, ""field_type"": null, ""op"": ""exists"", ""type_compatible"": true}], ""dictionary_fields_available"": [""algorithm"", ""digest_type"", ""dnskey_protocol"", ""domain"", ""flags"", ""key_tag"", ""measurement_id"", ""nsec3_flags"", ""nsec3_iterations"", ""nsec3_salt"", ""rr_type"", ""rrsig_type_covered"", ""rsa_key_bitsize"", ""source"", ""timestamp"", ""tlsa_matchtype"", ""tlsa_selector"", ""tlsa_usage"", ""zone""], ""indicator_description"": ""A deployment declared conformance to the DNSSEC BCP profile that RFC 9364 assembles."", ""indicator_id"": ""rfc9364_bcp_profile_declared"", ""missing_fields"": [""declared_standards_profile""], ""present_fields"": [], ""queryability"": ""non_queryable"", ""required"": true, ""rfc_id"": ""RFC 9364"", ""rfc_publication_date"": ""2023-02-01T00:00:00"", ""rfc_title"": ""DNS Security Extensions (DNSSEC)"", ""schema_reasoning"": ""Indicator rfc9364_bcp_profile_declared is non-queryable because none of the fields it references exist in the OpenINTEL dictionary: declared_standards_profile. No part of it can ever be evaluated against the measurement corpus."", ""schema_warnings"": [], ""weight"": 5.0}"
rev_0007,non_queryable_indicator,high,unresolved,"Indicator rfc9615_bootstrap_signal_label (required, weight 10.0) of RFC 9615 cannot be evaluated at all: field(s) `domain` are absent from the OpenINTEL analysis dictionary, so no observation can ever match it. Indicator rfc9615_bootstrap_signal_label is non-queryable: the field carrying its discriminating value, domain, is absent from the OpenINTEL dictionary, and the only field that remains, rr_type (string), merely scopes which records are considered and is not used by any other RFC 9615 indicator, so nothing testable is left to attribute an observation to RFC 9615.",RFC 9615,domain,,,"Add `domain` to the OpenINTEL analysis dictionary with an openintel_native_fields mapping to the real Parquet column(s) that carry it, or rewrite indicator rfc9615_bootstrap_signal_label to rely only on fields the corpus exports (algorithm, digest_type, dnskey_protocol, domain, flags, key_tag, measurement_id, nsec3_flags, nsec3_iterations, nsec3_salt, rr_type, rrsig_type_covered, ...). Until then RFC 9615 cannot be measured from this corpus on this indicator and must not be reported as unadopted - the evidence was never collectable.",,,"{""condition_checks"": [{""available_from"": """", ""expected"": ""_signal"", ""explanation"": ""Condition `domain contains _signal` of RFC 9615 cannot be evaluated: domain is provenance, not evidence. It identifies which observation this is, and the matcher deliberately does not expose it as a testable field, so an indicator resting on it can never match. An owner-name or measurement-identity signature needs a different corpus, not a different condition."", ""field"": ""domain"", ""field_exists"": false, ""field_type"": null, ""op"": ""contains"", ""type_compatible"": true}, {""available_from"": ""2010-01-01T00:00:00"", ""expected"": [""CDS"", ""CDNSKEY""], ""explanation"": ""Condition `rr_type in [CDS, CDNSKEY]` of RFC 9615 can be evaluated because the OpenINTEL dictionary defines the field rr_type with type string."", ""field"": ""rr_type"", ""field_exists"": true, ""field_type"": ""string"", ""op"": ""in"", ""type_compatible"": true}], ""dictionary_fields_available"": [""algorithm"", ""digest_type"", ""dnskey_protocol"", ""domain"", ""flags"", ""key_tag"", ""measurement_id"", ""nsec3_flags"", ""nsec3_iterations"", ""nsec3_salt"", ""rr_type"", ""rrsig_type_covered"", ""rsa_key_bitsize"", ""source"", ""timestamp"", ""tlsa_matchtype"", ""tlsa_selector"", ""tlsa_usage"", ""zone""], ""indicator_description"": ""A CDS/CDNSKEY published under an RFC 9615 _signal bootstrapping label."", ""indicator_id"": ""rfc9615_bootstrap_signal_label"", ""missing_fields"": [""domain""], ""present_fields"": [""rr_type""], ""queryability"": ""non_queryable"", ""required"": true, ""rfc_id"": ""RFC 9615"", ""rfc_publication_date"": ""2024-07-01T00:00:00"", ""rfc_title"": ""Automatic DNSSEC Bootstrapping Using Authenticated Signals from the Zone's Operator"", ""schema_reasoning"": ""Indicator rfc9615_bootstrap_signal_label is non-queryable: the field carrying its discriminating value, domain, is absent from the OpenINTEL dictionary, and the only field that remains, rr_type (string), merely scopes which records are considered and is not used by any other RFC 9615 indicator, so nothing testable is left to attribute an observation to RFC 9615."", ""schema_warnings"": [], ""weight"": 10.0}"
rev_0008,non_queryable_indicator,high,unresolved,"Indicator rfc9904_algorithm_guidance_process (required, weight 5.0) of RFC 9904 cannot be evaluated at all: field(s) `guidance_source_registry` are absent from the OpenINTEL analysis dictionary, so no observation can ever match it. Indicator rfc9904_algorithm_guidance_process is non-queryable because none of the fields it references exist in the OpenINTEL dictionary: guidance_source_registry. No part of it can ever be evaluated against the measurement corpus. The checklist additionally marks this indicator ambiguous, so even a full match is not uniquely attributable to RFC 9904.",RFC 9904,guidance_source_registry,,,"Add `guidance_source_registry` to the OpenINTEL analysis dictionary with an openintel_native_fields mapping to the real Parquet column(s) that carry it, or rewrite indicator rfc9904_algorithm_guidance_process to rely only on fields the corpus exports (algorithm, digest_type, dnskey_protocol, domain, flags, key_tag, measurement_id, nsec3_flags, nsec3_iterations, nsec3_salt, rr_type, rrsig_type_covered, ...). Until then RFC 9904 cannot be measured from this corpus on this indicator and must not be reported as unadopted - the evidence was never collectable.",,,"{""condition_checks"": [{""available_from"": """", ""expected"": null, ""explanation"": ""Condition `guidance_source_registry exists` of RFC 9904 cannot be evaluated because the OpenINTEL dictionary defines no field named guidance_source_registry; at match time the condition is recorded with field_present=False, fails, and guidance_source_registry is reported in the match's missing_fields. No similarly named field exists in the dictionary either."", ""field"": ""guidance_source_registry"", ""field_exists"": false, ""field_type"": null, ""op"": ""exists"", ""type_compatible"": true}], ""dictionary_fields_available"": [""algorithm"", ""digest_type"", ""dnskey_protocol"", ""domain"", ""flags"", ""key_tag"", ""measurement_id"", ""nsec3_flags"", ""nsec3_iterations"", ""nsec3_salt"", ""rr_type"", ""rrsig_type_covered"", ""rsa_key_bitsize"", ""source"", ""timestamp"", ""tlsa_matchtype"", ""tlsa_selector"", ""tlsa_usage"", ""zone""], ""indicator_description"": ""Algorithm guidance is sourced from the IANA registry rather than an RFC."", ""indicator_id"": ""rfc9904_algorithm_guidance_process"", ""missing_fields"": [""guidance_source_registry""], ""present_fields"": [], ""queryability"": ""non_queryable"", ""required"": true, ""rfc_id"": ""RFC 9904"", ""rfc_publication_date"": ""2025-11-01T00:00:00"", ""rfc_title"": ""DNSSEC Cryptographic Algorithm Recommendation Update Process"", ""schema_reasoning"": ""Indicator rfc9904_algorithm_guidance_process is non-queryable because none of the fields it references exist in the OpenINTEL dictionary: guidance_source_registry. No part of it can ever be evaluated against the measurement corpus. The checklist additionally marks this indicator ambiguous, so even a full match is not uniquely attributable to RFC 9904."", ""schema_warnings"": [], ""weight"": 5.0}"
rev_0009,partial_match,high,unresolved,"RFC 5933 matched partially on 10 observation(s): indicator(s) rfc5933_gost_ds_digest matched and required indicator(s) rfc5933_ecc_gost_algorithm did not, capping the score at 0.0. Every referenced field was present, so the unmatched required indicator(s) genuinely did not hold for these observations.",RFC 5933,,sig_0011; sig_0016; sig_0018; sig_0020; sig_0022; sig_0029; sig_0030; sig_0031; sig_0033; sig_0036,trace_sig_0011_rfc5933; trace_sig_0016_rfc5933; trace_sig_0018_rfc5933; trace_sig_0020_rfc5933; trace_sig_0022_rfc5933; trace_sig_0029_rfc5933; trace_sig_0030_rfc5933; trace_sig_0031_rfc5933; trace_sig_0033_rfc5933; trace_sig_0036_rfc5933,"Inspect indicator(s) rfc5933_ecc_gost_algorithm against signal(s) sig_0011, sig_0016, sig_0018, sig_0020, sig_0022, sig_0029, sig_0030, sig_0031, sig_0033, sig_0036: decide whether the condition is too strict for real deployments (in which case relax it or set required=false in the checklist) or whether RFC 5933 genuinely is not deployed here (in which case the partial match is correct and can be resolved as rejected). Treat this as high priority: RFC 5933 has very_high specificity, so its indicators are uniquely attributable and a near miss is likely a strong result being lost.",needs_manual_review,"Manual review required: signal sig_0036 matched 1 indicator(s) of RFC 5933 (rfc5933_gost_ds_digest) but required indicator(s) rfc5933_ecc_gost_algorithm did not match, scoring 0.0. All referenced fields were present, so the unmatched indicator(s) genuinely did not hold for this observation.","{""affected_signal_id_count"": 10, ""affected_signal_ids_truncated"": false, ""best_score"": 0.0, ""domains"": [""122.201.122.in-addr.arpa"", ""141.70.192.in-addr.arpa"", ""164.68.103.in-addr.arpa"", ""234.217.102.in-addr.arpa"", ""235.217.102.in-addr.arpa"", ""241.223.102.in-addr.arpa"", ""77.201.122.in-addr.arpa"", ""94.201.122.in-addr.arpa"", ""97.201.122.in-addr.arpa""], ""earliest_observation"": ""2019-12-01T00:00:00"", ""failed_indicator_ids"": [""rfc5933_ecc_gost_algorithm""], ""latest_observation"": ""2026-06-01T00:00:00"", ""listed_signal_ids"": [""sig_0011"", ""sig_0016"", ""sig_0018"", ""sig_0020"", ""sig_0022"", ""sig_0029"", ""sig_0030"", ""sig_0031"", ""sig_0033"", ""sig_0036""], ""matched_indicator_ids"": [""rfc5933_gost_ds_digest""], ""missing_field_native_columns"": {}, ""missing_fields"": [], ""observation_count"": 10, ""representative_signal_id"": ""sig_0036"", ""representative_trace_id"": ""trace_sig_0036_rfc5933"", ""rfc_id"": ""RFC 5933"", ""rfc_specificity"": ""very_high"", ""rfc_title"": ""Use of GOST Signature Algorithms in DNSKEY and RRSIG Resource Records for DNSSEC"", ""unmatched_required_indicator_ids"": [""rfc5933_ecc_gost_algorithm""], ""zones"": [""afrinic"", ""apnic"", ""ripe""]}"
rev_0010,partial_match,high,unresolved,"RFC 9906 matched partially on 5 observation(s): indicator(s) rfc9906_deprecated_gost_digest_still_published matched and required indicator(s) rfc9906_deprecated_ecc_gost_still_published did not, capping the score at 0.0. Every referenced field was present, so the unmatched required indicator(s) genuinely did not hold for these observations.",RFC 9906,,sig_0029; sig_0030; sig_0031; sig_0033; sig_0036,trace_sig_0029_rfc9906; trace_sig_0030_rfc9906; trace_sig_0031_rfc9906; trace_sig_0033_rfc9906; trace_sig_0036_rfc9906,"Inspect indicator(s) rfc9906_deprecated_ecc_gost_still_published against signal(s) sig_0029, sig_0030, sig_0031, sig_0033, sig_0036: decide whether the condition is too strict for real deployments (in which case relax it or set required=false in the checklist) or whether RFC 9906 genuinely is not deployed here (in which case the partial match is correct and can be resolved as rejected). Treat this as high priority: RFC 9906 has very_high specificity, so its indicators are uniquely attributable and a near miss is likely a strong result being lost.",needs_manual_review,"Manual review required: signal sig_0036 matched 1 indicator(s) of RFC 9906 (rfc9906_deprecated_gost_digest_still_published) but required indicator(s) rfc9906_deprecated_ecc_gost_still_published did not match, scoring 0.0. All referenced fields were present, so the unmatched indicator(s) genuinely did not hold for this observation.","{""affected_signal_id_count"": 5, ""affected_signal_ids_truncated"": false, ""best_score"": 0.0, ""domains"": [""141.70.192.in-addr.arpa"", ""234.217.102.in-addr.arpa"", ""235.217.102.in-addr.arpa"", ""241.223.102.in-addr.arpa""], ""earliest_observation"": ""2026-02-01T00:00:00"", ""failed_indicator_ids"": [""rfc9906_deprecated_ecc_gost_still_published""], ""latest_observation"": ""2026-06-01T00:00:00"", ""listed_signal_ids"": [""sig_0029"", ""sig_0030"", ""sig_0031"", ""sig_0033"", ""sig_0036""], ""matched_indicator_ids"": [""rfc9906_deprecated_gost_digest_still_published""], ""missing_field_native_columns"": {}, ""missing_fields"": [], ""observation_count"": 5, ""representative_signal_id"": ""sig_0036"", ""representative_trace_id"": ""trace_sig_0036_rfc9906"", ""rfc_id"": ""RFC 9906"", ""rfc_specificity"": ""very_high"", ""rfc_title"": ""Deprecate Usage of ECC-GOST within DNSSEC"", ""unmatched_required_indicator_ids"": [""rfc9906_deprecated_ecc_gost_still_published""], ""zones"": [""afrinic"", ""ripe""]}"
