rfc_id,title,published,status,obsoleted_by,signal_type,specificity,verdict,indicators,required_indicators,observable_from,left_censored,reason
RFC 3110,RSA/SHA-1 SIGs and RSA KEYs in the Domain Name System (DNS),2001-05-01,PROPOSED STANDARD,,adoption,high,measurable,2,1,2010-01-01,True,Indicator rfc3110_rsasha1_algorithm is queryable because all fields it references exist in the OpenINTEL dictionary: algorithm (integer).
RFC 4033,DNS Security Introduction and Requirements (DNSSEC base: RFC 4033/4034/4035),2005-03-01,PROPOSED STANDARD,,adoption,low,measurable,3,1,2010-01-01,True,Indicator rfc4033_base_dnssec_record_present is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string).
RFC 4034,Resource Records for the DNS Security Extensions,2005-03-01,PROPOSED STANDARD,,adoption,medium,measurable,3,1,2010-01-01,True,Indicator rfc4034_core_record_present is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string).
RFC 4035,Protocol Modifications for the DNS Security Extensions,2005-03-01,PROPOSED STANDARD,,meta,low,not measurable here,1,1,,False,Indicator rfc4035_dnssec_ok_negotiated is non-queryable because none of the fields it references exist in the OpenINTEL dictionary: dnssec_ok_flag. No part of it can ever be evaluated against the measurement corpus.
RFC 4509,Use of SHA-256 in DNSSEC Delegation Signer (DS) Resource Records,2006-05-01,PROPOSED STANDARD,,adoption,high,measurable,1,1,2010-01-01,True,"Indicator rfc4509_ds_sha256_digest is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), digest_type (integer)."
RFC 5011,Automated Updates of DNS Security (DNSSEC) Trust Anchors,2007-09-01,INTERNET STANDARD,,adoption,high,measurable,1,1,2016-01-01,True,"Indicator rfc5011_revoked_key_published is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), flags (string)."
RFC 5155,DNS Security (DNSSEC) Hashed Authenticated Denial of Existence,2008-03-01,PROPOSED STANDARD,,adoption,very_high,measurable,2,1,2010-01-01,True,Indicator rfc5155_nsec3_record_present is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string).
RFC 5702,Use of SHA-2 Algorithms with RSA in DNSKEY and RRSIG Resource Records for DNSSEC,2009-10-01,PROPOSED STANDARD,,adoption,high,measurable,2,1,2010-01-01,True,Indicator rfc5702_rsa_sha2_algorithm is queryable because all fields it references exist in the OpenINTEL dictionary: algorithm (integer).
RFC 5933,Use of GOST Signature Algorithms in DNSKEY and RRSIG Resource Records for DNSSEC,2010-07-01,HISTORIC,,adoption,very_high,measurable,2,1,2010-01-01,False,Indicator rfc5933_ecc_gost_algorithm is queryable because all fields it references exist in the OpenINTEL dictionary: algorithm (integer).
RFC 6605,Elliptic Curve Digital Signature Algorithm (DSA) for DNSSEC,2012-04-01,PROPOSED STANDARD,,adoption,high,measurable,2,1,2010-01-01,False,Indicator rfc6605_ecdsa_algorithm is queryable because all fields it references exist in the OpenINTEL dictionary: algorithm (integer).
